,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
AC087362.2,ENSG00000255487,Gene Expression,GRCh38,4,4.0,AC087362.2,4
AC245060.6,ENSG00000279278,Gene Expression,GRCh38,26,26.0,AC245060.6,26
PLCH1,ENSG00000114805,Gene Expression,GRCh38,9,10.0,PLCH1,9
SEMA5B,ENSG00000082684,Gene Expression,GRCh38,150,182.0,SEMA5B,150
AKAP12,ENSG00000131016,Gene Expression,GRCh38,777,1309.0,AKAP12,777
LINC02449,ENSG00000215241,Gene Expression,GRCh38,9,10.0,LINC02449,9
DNAJC3-DT,ENSG00000247400,Gene Expression,GRCh38,107,116.0,DNAJC3-DT,107
SDHB,ENSG00000117118,Gene Expression,GRCh38,1389,1777.0,SDHB,1389
LINC01184,ENSG00000245937,Gene Expression,GRCh38,260,276.0,LINC01184,260
ATXN7L2,ENSG00000162650,Gene Expression,GRCh38,57,57.0,ATXN7L2,57
PRRC2B,ENSG00000130723,Gene Expression,GRCh38,2690,4052.0,PRRC2B,2690
NUBPL,ENSG00000151413,Gene Expression,GRCh38,424,466.0,NUBPL,424
GAN,ENSG00000261609,Gene Expression,GRCh38,1345,1755.0,GAN,1345
AP000238.1,ENSG00000273464,Gene Expression,GRCh38,5,5.0,AP000238.1,5
USP53,ENSG00000145390,Gene Expression,GRCh38,1539,2098.0,USP53,1539
ENTPD1-AS1,ENSG00000226688,Gene Expression,GRCh38,202,214.0,ENTPD1-AS1,202
AC007040.1,ENSG00000228384,Gene Expression,GRCh38,3,4.0,AC007040.1,3
AC092953.2,ENSG00000273261,Gene Expression,GRCh38,9,9.0,AC092953.2,9
ARSD,ENSG00000006756,Gene Expression,GRCh38,1617,2150.0,ARSD,1617
PTPRF,ENSG00000142949,Gene Expression,GRCh38,7214,52421.0,PTPRF,7214
ZNF830,ENSG00000198783,Gene Expression,GRCh38,533,582.0,ZNF830,533
AHCYL1,ENSG00000168710,Gene Expression,GRCh38,2355,3604.0,AHCYL1,2355
PURB,ENSG00000146676,Gene Expression,GRCh38,1718,2259.0,PURB,1718
PEX5,ENSG00000139197,Gene Expression,GRCh38,281,290.0,PEX5,281
LINC02302,ENSG00000258998,Gene Expression,GRCh38,19,19.0,LINC02302,19
AC107926.1,ENSG00000264660,Gene Expression,GRCh38,6,6.0,AC107926.1,6
LYL1,ENSG00000104903,Gene Expression,GRCh38,4,5.0,LYL1,4
ZNF28,ENSG00000198538,Gene Expression,GRCh38,766,880.0,ZNF28,766
TMCO1,ENSG00000143183,Gene Expression,GRCh38,3698,8147.0,TMCO1,3698
IGF2R,ENSG00000197081,Gene Expression,GRCh38,2031,3086.0,IGF2R,2031
TCEAL3,ENSG00000196507,Gene Expression,GRCh38,19,23.0,TCEAL3,19
CRABP2,ENSG00000143320,Gene Expression,GRCh38,434,640.0,CRABP2,434
ALDH16A1,ENSG00000161618,Gene Expression,GRCh38,583,646.0,ALDH16A1,583
ACYP1,ENSG00000119640,Gene Expression,GRCh38,576,648.0,ACYP1,576
TMEM50A,ENSG00000183726,Gene Expression,GRCh38,3736,9099.0,TMEM50A,3736
VPS53,ENSG00000141252,Gene Expression,GRCh38,791,887.0,VPS53,791
SLC11A2,ENSG00000110911,Gene Expression,GRCh38,1500,1976.0,SLC11A2,1500
RPUSD4,ENSG00000165526,Gene Expression,GRCh38,256,268.0,RPUSD4,256
AC004067.1,ENSG00000273447,Gene Expression,GRCh38,10,10.0,AC004067.1,10
NOL9,ENSG00000162408,Gene Expression,GRCh38,461,505.0,NOL9,461
RASGRP1,ENSG00000172575,Gene Expression,GRCh38,33,33.0,RASGRP1,33
NT5DC4,ENSG00000144130,Gene Expression,GRCh38,41,48.0,NT5DC4,41
NCOA5,ENSG00000124160,Gene Expression,GRCh38,567,608.0,NCOA5,567
NMUR2,ENSG00000132911,Gene Expression,GRCh38,5,5.0,NMUR2,5
RIPOR3,ENSG00000042062,Gene Expression,GRCh38,10,10.0,RIPOR3,10
SOS2,ENSG00000100485,Gene Expression,GRCh38,1315,1623.0,SOS2,1315
C17orf82,ENSG00000187013,Gene Expression,GRCh38,7,7.0,C17orf82,7
LINC02357,ENSG00000283314,Gene Expression,GRCh38,8,8.0,LINC02357,8
GLUL,ENSG00000135821,Gene Expression,GRCh38,4104,9034.0,GLUL,4104
EXT2,ENSG00000151348,Gene Expression,GRCh38,1165,1498.0,EXT2,1165
TNFSF4,ENSG00000117586,Gene Expression,GRCh38,21,22.0,TNFSF4,21
MAGEE1,ENSG00000198934,Gene Expression,GRCh38,5,5.0,MAGEE1,5
CASC3,ENSG00000108349,Gene Expression,GRCh38,1195,1414.0,CASC3,1195
NSUN5,ENSG00000130305,Gene Expression,GRCh38,1263,1530.0,NSUN5,1263
AC097478.1,ENSG00000251095,Gene Expression,GRCh38,267,340.0,AC097478.1,267
ARL6IP4,ENSG00000182196,Gene Expression,GRCh38,3764,7580.0,ARL6IP4,3764
CPLANE2,ENSG00000132881,Gene Expression,GRCh38,64,67.0,CPLANE2,64
NIPAL2,ENSG00000104361,Gene Expression,GRCh38,224,228.0,NIPAL2,224
TGM1,ENSG00000092295,Gene Expression,GRCh38,114,121.0,TGM1,114
DSN1,ENSG00000149636,Gene Expression,GRCh38,678,816.0,DSN1,678
AL355512.1,ENSG00000273143,Gene Expression,GRCh38,100,110.0,AL355512.1,100
AXDND1,ENSG00000162779,Gene Expression,GRCh38,28,29.0,AXDND1,28
ARRDC3,ENSG00000113369,Gene Expression,GRCh38,3872,11487.0,ARRDC3,3872
TMEM184A,ENSG00000164855,Gene Expression,GRCh38,910,1047.0,TMEM184A,910
LINC01562,ENSG00000203356,Gene Expression,GRCh38,3,3.0,LINC01562,3
OSGEPL1-AS1,ENSG00000253559,Gene Expression,GRCh38,11,11.0,OSGEPL1-AS1,11
RTL8C,ENSG00000134590,Gene Expression,GRCh38,2494,4038.0,RTL8C,2494
AC078881.1,ENSG00000250131,Gene Expression,GRCh38,945,1156.0,AC078881.1,945
AC048382.5,ENSG00000275120,Gene Expression,GRCh38,3,3.0,AC048382.5,3
AC092142.1,ENSG00000261235,Gene Expression,GRCh38,53,56.0,AC092142.1,53
LINC02166,ENSG00000260259,Gene Expression,GRCh38,7,7.0,LINC02166,7
HIST2H2AA4,ENSG00000272196,Gene Expression,GRCh38,58,61.0,HIST2H2AA4,58
CYB5D2,ENSG00000167740,Gene Expression,GRCh38,671,798.0,CYB5D2,671
TP53RK,ENSG00000172315,Gene Expression,GRCh38,891,1073.0,TP53RK,891
PIAS4,ENSG00000105229,Gene Expression,GRCh38,753,830.0,PIAS4,753
AC010976.1,ENSG00000231731,Gene Expression,GRCh38,4,4.0,AC010976.1,4
DNALI1,ENSG00000163879,Gene Expression,GRCh38,161,178.0,DNALI1,161
ZFAND5,ENSG00000107372,Gene Expression,GRCh38,3697,7035.0,ZFAND5,3697
LONRF2,ENSG00000170500,Gene Expression,GRCh38,12,13.0,LONRF2,12
DMGDH,ENSG00000132837,Gene Expression,GRCh38,56,59.0,DMGDH,56
Z95114.1,ENSG00000279217,Gene Expression,GRCh38,235,284.0,Z95114.1,235
RAB3D,ENSG00000105514,Gene Expression,GRCh38,791,906.0,RAB3D,791
C1orf229,ENSG00000221953,Gene Expression,GRCh38,5,5.0,C1orf229,5
AC087623.2,ENSG00000255201,Gene Expression,GRCh38,12,12.0,AC087623.2,12
CMC1,ENSG00000187118,Gene Expression,GRCh38,1650,2225.0,CMC1,1650
ZNF724,ENSG00000196081,Gene Expression,GRCh38,85,89.0,ZNF724,85
EEF1AKMT4,ENSG00000284753,Gene Expression,GRCh38,693,857.0,EEF1AKMT4,693
LINC02450,ENSG00000257114,Gene Expression,GRCh38,11,12.0,LINC02450,11
SERPINE2,ENSG00000135919,Gene Expression,GRCh38,8839,195965.0,SERPINE2,8839
OR1I1,ENSG00000094661,Gene Expression,GRCh38,9,9.0,OR1I1,9
AC018464.1,ENSG00000234520,Gene Expression,GRCh38,23,23.0,AC018464.1,23
AP001596.1,ENSG00000232692,Gene Expression,GRCh38,89,94.0,AP001596.1,89
RPS6KA1,ENSG00000117676,Gene Expression,GRCh38,793,924.0,RPS6KA1,793
PKP3,ENSG00000184363,Gene Expression,GRCh38,3773,6549.0,PKP3,3773
LINC01901,ENSG00000267413,Gene Expression,GRCh38,3,3.0,LINC01901,3
TAX1BP3,ENSG00000213977,Gene Expression,GRCh38,1409,1807.0,TAX1BP3,1409
SUPT5H,ENSG00000196235,Gene Expression,GRCh38,2775,4000.0,SUPT5H,2775
RPL41,ENSG00000229117,Gene Expression,GRCh38,9504,216833.0,RPL41,9504
AL031733.2,ENSG00000241666,Gene Expression,GRCh38,5,5.0,AL031733.2,5
RPP38,ENSG00000152464,Gene Expression,GRCh38,1199,1458.0,RPP38,1199
AC004158.1,ENSG00000260664,Gene Expression,GRCh38,6,6.0,AC004158.1,6
MAP3K14-AS1,ENSG00000267278,Gene Expression,GRCh38,16,17.0,MAP3K14-AS1,16
ELAVL3,ENSG00000196361,Gene Expression,GRCh38,12,12.0,ELAVL3,12
ZNF93,ENSG00000184635,Gene Expression,GRCh38,206,221.0,ZNF93,206
AC109322.1,ENSG00000255224,Gene Expression,GRCh38,44,47.0,AC109322.1,44
LACTB,ENSG00000103642,Gene Expression,GRCh38,1121,1355.0,LACTB,1121
AC068135.2,ENSG00000260142,Gene Expression,GRCh38,5,5.0,AC068135.2,5
SPINT1,ENSG00000166145,Gene Expression,GRCh38,3468,9620.0,SPINT1,3468
NUDT22,ENSG00000149761,Gene Expression,GRCh38,1455,1864.0,NUDT22,1455
LRRC39,ENSG00000122477,Gene Expression,GRCh38,27,28.0,LRRC39,27
SPICE1,ENSG00000163611,Gene Expression,GRCh38,486,526.0,SPICE1,486
HAGLR,ENSG00000224189,Gene Expression,GRCh38,3,3.0,HAGLR,3
FHL1,ENSG00000022267,Gene Expression,GRCh38,68,92.0,FHL1,68
AC073569.2,ENSG00000258048,Gene Expression,GRCh38,3,3.0,AC073569.2,3
AL139289.2,ENSG00000234694,Gene Expression,GRCh38,40,40.0,AL139289.2,40
HCN2,ENSG00000099822,Gene Expression,GRCh38,20,21.0,HCN2,20
ZNF556,ENSG00000172000,Gene Expression,GRCh38,32,33.0,ZNF556,32
IL17B,ENSG00000127743,Gene Expression,GRCh38,8,8.0,IL17B,8
AL035413.1,ENSG00000230424,Gene Expression,GRCh38,58,63.0,AL035413.1,58
MAT1A,ENSG00000151224,Gene Expression,GRCh38,3,3.0,MAT1A,3
C9orf131,ENSG00000174038,Gene Expression,GRCh38,19,19.0,C9orf131,19
AC007823.1,ENSG00000260743,Gene Expression,GRCh38,4,4.0,AC007823.1,4
AC083843.2,ENSG00000254028,Gene Expression,GRCh38,4,4.0,AC083843.2,4
AL359317.2,ENSG00000258957,Gene Expression,GRCh38,3,3.0,AL359317.2,3
UROS,ENSG00000188690,Gene Expression,GRCh38,900,1069.0,UROS,900
TMED2,ENSG00000086598,Gene Expression,GRCh38,5540,18036.0,TMED2,5540
AC025178.1,ENSG00000250764,Gene Expression,GRCh38,12,12.0,AC025178.1,12
A2ML1,ENSG00000166535,Gene Expression,GRCh38,40,42.0,A2ML1,40
VPS4A,ENSG00000132612,Gene Expression,GRCh38,1426,1756.0,VPS4A,1426
ZNF358,ENSG00000198816,Gene Expression,GRCh38,224,235.0,ZNF358,224
ZNF835,ENSG00000127903,Gene Expression,GRCh38,18,19.0,ZNF835,18
SNX5,ENSG00000089006,Gene Expression,GRCh38,2632,4064.0,SNX5,2632
TTC30B,ENSG00000196659,Gene Expression,GRCh38,48,48.0,TTC30B,48
KIZ,ENSG00000088970,Gene Expression,GRCh38,309,332.0,KIZ,309
UBR4,ENSG00000127481,Gene Expression,GRCh38,2139,3007.0,UBR4,2139
AC079807.1,ENSG00000233230,Gene Expression,GRCh38,13,13.0,AC079807.1,13
MYH6,ENSG00000197616,Gene Expression,GRCh38,11,12.0,MYH6,11
GABPB1-AS1,ENSG00000244879,Gene Expression,GRCh38,1135,1516.0,GABPB1-AS1,1135
GIMAP2,ENSG00000106560,Gene Expression,GRCh38,11,12.0,GIMAP2,11
RBMS2,ENSG00000076067,Gene Expression,GRCh38,1857,2396.0,RBMS2,1857
AC011472.4,ENSG00000273733,Gene Expression,GRCh38,5,5.0,AC011472.4,5
ANKDD1B,ENSG00000189045,Gene Expression,GRCh38,47,49.0,ANKDD1B,47
STK16,ENSG00000115661,Gene Expression,GRCh38,645,720.0,STK16,645
BLMH,ENSG00000108578,Gene Expression,GRCh38,607,682.0,BLMH,607
RPL38,ENSG00000172809,Gene Expression,GRCh38,8798,76867.0,RPL38,8798
TMEM191C,ENSG00000206140,Gene Expression,GRCh38,748,863.0,TMEM191C,748
PCP4L1,ENSG00000248485,Gene Expression,GRCh38,366,412.0,PCP4L1,366
LINC01305,ENSG00000231453,Gene Expression,GRCh38,8,8.0,LINC01305,8
ZNF707,ENSG00000181135,Gene Expression,GRCh38,130,133.0,ZNF707,130
UBAP1,ENSG00000165006,Gene Expression,GRCh38,1236,1434.0,UBAP1,1236
ARV1,ENSG00000173409,Gene Expression,GRCh38,378,413.0,ARV1,378
C11orf1,ENSG00000137720,Gene Expression,GRCh38,435,482.0,C11orf1,435
COL1A1,ENSG00000108821,Gene Expression,GRCh38,66,70.0,COL1A1,66
ADORA2B,ENSG00000170425,Gene Expression,GRCh38,305,317.0,ADORA2B,305
AC073263.1,ENSG00000217702,Gene Expression,GRCh38,45,46.0,AC073263.1,45
CD81,ENSG00000110651,Gene Expression,GRCh38,4095,11749.0,CD81,4095
SEM1,ENSG00000127922,Gene Expression,GRCh38,5688,18875.0,SEM1,5688
MTG2,ENSG00000101181,Gene Expression,GRCh38,601,656.0,MTG2,601
ZNF641,ENSG00000167528,Gene Expression,GRCh38,98,104.0,ZNF641,98
TMED1,ENSG00000099203,Gene Expression,GRCh38,1620,2514.0,TMED1,1620
SLA,ENSG00000155926,Gene Expression,GRCh38,35,35.0,SLA,35
ZNF568,ENSG00000198453,Gene Expression,GRCh38,236,246.0,ZNF568,236
C2CD2L,ENSG00000172375,Gene Expression,GRCh38,129,136.0,C2CD2L,129
SVEP1,ENSG00000165124,Gene Expression,GRCh38,635,1152.0,SVEP1,635
AL031432.3,ENSG00000272432,Gene Expression,GRCh38,11,11.0,AL031432.3,11
CDKL1,ENSG00000100490,Gene Expression,GRCh38,23,26.0,CDKL1,23
RBM4,ENSG00000173933,Gene Expression,GRCh38,412,444.0,RBM4,412
PDIK1L,ENSG00000175087,Gene Expression,GRCh38,114,116.0,PDIK1L,114
ECT2,ENSG00000114346,Gene Expression,GRCh38,185,200.0,ECT2,185
AL513318.2,ENSG00000269994,Gene Expression,GRCh38,48,49.0,AL513318.2,48
PCSK4,ENSG00000115257,Gene Expression,GRCh38,40,40.0,PCSK4,40
VPS41,ENSG00000006715,Gene Expression,GRCh38,1303,1595.0,VPS41,1303
REV3L,ENSG00000009413,Gene Expression,GRCh38,1163,1412.0,REV3L,1163
MTFR2,ENSG00000146410,Gene Expression,GRCh38,145,155.0,MTFR2,145
EXPH5,ENSG00000110723,Gene Expression,GRCh38,544,682.0,EXPH5,544
FPGT,ENSG00000254685,Gene Expression,GRCh38,309,324.0,FPGT,309
MIEN1,ENSG00000141741,Gene Expression,GRCh38,1697,2710.0,MIEN1,1697
GRM6,ENSG00000113262,Gene Expression,GRCh38,4,4.0,GRM6,4
ATP5PB,ENSG00000116459,Gene Expression,GRCh38,2466,4155.0,ATP5PB,2466
AC011997.1,ENSG00000222017,Gene Expression,GRCh38,8,9.0,AC011997.1,8
BCL2L11,ENSG00000153094,Gene Expression,GRCh38,214,242.0,BCL2L11,214
MFSD10,ENSG00000109736,Gene Expression,GRCh38,3157,5995.0,MFSD10,3157
AEBP2,ENSG00000139154,Gene Expression,GRCh38,1863,2537.0,AEBP2,1863
SLC38A3,ENSG00000188338,Gene Expression,GRCh38,18,19.0,SLC38A3,18
PBOV1,ENSG00000254440,Gene Expression,GRCh38,3,3.0,PBOV1,3
MYL6B,ENSG00000196465,Gene Expression,GRCh38,914,1065.0,MYL6B,914
TADA2A,ENSG00000276234,Gene Expression,GRCh38,236,249.0,TADA2A,236
ATP6AP1,ENSG00000071553,Gene Expression,GRCh38,3557,7370.0,ATP6AP1,3557
CDK2AP2,ENSG00000167797,Gene Expression,GRCh38,1761,2509.0,CDK2AP2,1761
GCSAM,ENSG00000174500,Gene Expression,GRCh38,42,42.0,GCSAM,42
LINC02363,ENSG00000180712,Gene Expression,GRCh38,6,6.0,LINC02363,6
HOXC9,ENSG00000180806,Gene Expression,GRCh38,127,142.0,HOXC9,127
ACTR1B,ENSG00000115073,Gene Expression,GRCh38,1038,1204.0,ACTR1B,1038
PAK2,ENSG00000180370,Gene Expression,GRCh38,4468,10932.0,PAK2,4468
FAM172A,ENSG00000113391,Gene Expression,GRCh38,759,866.0,FAM172A,759
THUMPD3-AS1,ENSG00000206573,Gene Expression,GRCh38,1309,1712.0,THUMPD3-AS1,1309
MYCN,ENSG00000134323,Gene Expression,GRCh38,3262,7306.0,MYCN,3262
ZNF572,ENSG00000180938,Gene Expression,GRCh38,29,29.0,ZNF572,29
KRTAP1-5,ENSG00000221852,Gene Expression,GRCh38,3,5.0,KRTAP1-5,3
IGHM,ENSG00000211899,Gene Expression,GRCh38,4,4.0,IGHM,4
ACTRT3,ENSG00000184378,Gene Expression,GRCh38,31,31.0,ACTRT3,31
PRR7,ENSG00000131188,Gene Expression,GRCh38,67,68.0,PRR7,67
ARMH1,ENSG00000198520,Gene Expression,GRCh38,20,20.0,ARMH1,20
SIGLEC6,ENSG00000105492,Gene Expression,GRCh38,303,544.0,SIGLEC6,303
THAP4,ENSG00000176946,Gene Expression,GRCh38,541,599.0,THAP4,541
SIL1,ENSG00000120725,Gene Expression,GRCh38,4980,15447.0,SIL1,4980
CNOT6,ENSG00000113300,Gene Expression,GRCh38,1043,1234.0,CNOT6,1043
RTN4IP1,ENSG00000130347,Gene Expression,GRCh38,142,144.0,RTN4IP1,142
HBS1L,ENSG00000112339,Gene Expression,GRCh38,1131,1313.0,HBS1L,1131
AC244034.2,ENSG00000261000,Gene Expression,GRCh38,12,12.0,AC244034.2,12
RHOG,ENSG00000177105,Gene Expression,GRCh38,1828,2535.0,RHOG,1828
AC006378.1,ENSG00000236861,Gene Expression,GRCh38,4,4.0,AC006378.1,4
BTAF1,ENSG00000095564,Gene Expression,GRCh38,872,1016.0,BTAF1,872
M6PR,ENSG00000003056,Gene Expression,GRCh38,1470,1921.0,M6PR,1470
RAP2B,ENSG00000181467,Gene Expression,GRCh38,2978,5939.0,RAP2B,2978
MPHOSPH6,ENSG00000135698,Gene Expression,GRCh38,567,640.0,MPHOSPH6,567
AMFR,ENSG00000159461,Gene Expression,GRCh38,1132,1354.0,AMFR,1132
RAB34,ENSG00000109113,Gene Expression,GRCh38,773,934.0,RAB34,773
AC008109.1,ENSG00000266602,Gene Expression,GRCh38,149,154.0,AC008109.1,149
RAB2B,ENSG00000129472,Gene Expression,GRCh38,764,860.0,RAB2B,764
CPNE4,ENSG00000196353,Gene Expression,GRCh38,3,3.0,CPNE4,3
SGK3,ENSG00000104205,Gene Expression,GRCh38,404,453.0,SGK3,404
CABP4,ENSG00000175544,Gene Expression,GRCh38,28,31.0,CABP4,28
HCG27,ENSG00000206344,Gene Expression,GRCh38,4,4.0,HCG27,4
TRPC4AP,ENSG00000100991,Gene Expression,GRCh38,1707,2140.0,TRPC4AP,1707
KAT2B,ENSG00000114166,Gene Expression,GRCh38,242,252.0,KAT2B,242
GOLM1,ENSG00000135052,Gene Expression,GRCh38,1439,1936.0,GOLM1,1439
DNAJC21,ENSG00000168724,Gene Expression,GRCh38,2472,3765.0,DNAJC21,2472
TMEM170A,ENSG00000166822,Gene Expression,GRCh38,1621,2137.0,TMEM170A,1621
LINC00337,ENSG00000225077,Gene Expression,GRCh38,112,117.0,LINC00337,112
CACNB2,ENSG00000165995,Gene Expression,GRCh38,9,9.0,CACNB2,9
TTC5,ENSG00000136319,Gene Expression,GRCh38,413,447.0,TTC5,413
POU2F1,ENSG00000143190,Gene Expression,GRCh38,1228,1503.0,POU2F1,1228
SEMA3B,ENSG00000012171,Gene Expression,GRCh38,2265,3967.0,SEMA3B,2265
AC099850.1,ENSG00000224738,Gene Expression,GRCh38,17,18.0,AC099850.1,17
SCHLAP1,ENSG00000281131,Gene Expression,GRCh38,54,55.0,SCHLAP1,54
ITGBL1,ENSG00000198542,Gene Expression,GRCh38,739,956.0,ITGBL1,739
AC087190.1,ENSG00000260349,Gene Expression,GRCh38,367,400.0,AC087190.1,367
KLF4,ENSG00000136826,Gene Expression,GRCh38,3524,8307.0,KLF4,3524
YIPF6,ENSG00000181704,Gene Expression,GRCh38,2782,4689.0,YIPF6,2782
ZNF320,ENSG00000182986,Gene Expression,GRCh38,51,51.0,ZNF320,51
OBSL1,ENSG00000124006,Gene Expression,GRCh38,3400,5886.0,OBSL1,3400
AL078601.2,ENSG00000231533,Gene Expression,GRCh38,4,4.0,AL078601.2,4
NFX1,ENSG00000086102,Gene Expression,GRCh38,785,882.0,NFX1,785
MFSD1,ENSG00000118855,Gene Expression,GRCh38,1101,1427.0,MFSD1,1101
CPSF6,ENSG00000111605,Gene Expression,GRCh38,1513,1861.0,CPSF6,1513
KIF9,ENSG00000088727,Gene Expression,GRCh38,274,286.0,KIF9,274
C9orf64,ENSG00000165118,Gene Expression,GRCh38,554,611.0,C9orf64,554
HNRNPA2B1,ENSG00000122566,Gene Expression,GRCh38,5782,16167.0,HNRNPA2B1,5782
AL158835.1,ENSG00000224023,Gene Expression,GRCh38,66,70.0,AL158835.1,66
HECTD3,ENSG00000126107,Gene Expression,GRCh38,765,859.0,HECTD3,765
SLC49A3,ENSG00000169026,Gene Expression,GRCh38,69,76.0,SLC49A3,69
AC007529.1,ENSG00000255871,Gene Expression,GRCh38,10,11.0,AC007529.1,10
DNAJB9,ENSG00000128590,Gene Expression,GRCh38,2960,6076.0,DNAJB9,2960
AC099508.1,ENSG00000247033,Gene Expression,GRCh38,6,6.0,AC099508.1,6
CEP55,ENSG00000138180,Gene Expression,GRCh38,56,66.0,CEP55,56
AL157888.1,ENSG00000282787,Gene Expression,GRCh38,10,10.0,AL157888.1,10
AC093110.1,ENSG00000238018,Gene Expression,GRCh38,3,3.0,AC093110.1,3
AC020571.1,ENSG00000229056,Gene Expression,GRCh38,5,5.0,AC020571.1,5
MARK3,ENSG00000075413,Gene Expression,GRCh38,1492,1864.0,MARK3,1492
PIGA,ENSG00000165195,Gene Expression,GRCh38,546,608.0,PIGA,546
SLC19A3,ENSG00000135917,Gene Expression,GRCh38,594,706.0,SLC19A3,594
RPS20,ENSG00000008988,Gene Expression,GRCh38,8032,62762.0,RPS20,8032
AC025171.2,ENSG00000215068,Gene Expression,GRCh38,11,11.0,AC025171.2,11
MAGED4B,ENSG00000187243,Gene Expression,GRCh38,3,3.0,MAGED4B,3
AL358113.1,ENSG00000285130,Gene Expression,GRCh38,49,49.0,AL358113.1,49
SPRY4,ENSG00000187678,Gene Expression,GRCh38,506,573.0,SPRY4,506
PON1,ENSG00000005421,Gene Expression,GRCh38,6,6.0,PON1,6
SMYD3,ENSG00000185420,Gene Expression,GRCh38,825,973.0,SMYD3,825
AC091057.4,ENSG00000269974,Gene Expression,GRCh38,7,7.0,AC091057.4,7
SH3GLB1,ENSG00000097033,Gene Expression,GRCh38,4548,11700.0,SH3GLB1,4548
ZNF30,ENSG00000168661,Gene Expression,GRCh38,9,9.0,ZNF30,9
MIR34AHG,ENSG00000228526,Gene Expression,GRCh38,60,63.0,MIR34AHG,60
CCDC22,ENSG00000101997,Gene Expression,GRCh38,269,273.0,CCDC22,269
SLCO1A2,ENSG00000084453,Gene Expression,GRCh38,13,14.0,SLCO1A2,13
AL589182.1,ENSG00000258314,Gene Expression,GRCh38,9,9.0,AL589182.1,9
AL645465.1,ENSG00000240963,Gene Expression,GRCh38,16,16.0,AL645465.1,16
RELB,ENSG00000104856,Gene Expression,GRCh38,359,388.0,RELB,359
NBEAL2,ENSG00000160796,Gene Expression,GRCh38,196,205.0,NBEAL2,196
GZMM,ENSG00000197540,Gene Expression,GRCh38,44,45.0,GZMM,44
ZNF717,ENSG00000227124,Gene Expression,GRCh38,162,174.0,ZNF717,162
ZNF761,ENSG00000160336,Gene Expression,GRCh38,893,1026.0,ZNF761,893
ADARB1,ENSG00000197381,Gene Expression,GRCh38,178,186.0,ADARB1,178
TOR1AIP2,ENSG00000169905,Gene Expression,GRCh38,4818,10736.0,TOR1AIP2,4818
PLD5,ENSG00000180287,Gene Expression,GRCh38,5,5.0,PLD5,5
AC005332.6,ENSG00000277476,Gene Expression,GRCh38,73,76.0,AC005332.6,73
AC092329.1,ENSG00000269107,Gene Expression,GRCh38,12,12.0,AC092329.1,12
TRIM14,ENSG00000106785,Gene Expression,GRCh38,1570,2144.0,TRIM14,1570
ZNF841,ENSG00000197608,Gene Expression,GRCh38,482,529.0,ZNF841,482
AC133919.1,ENSG00000260507,Gene Expression,GRCh38,38,38.0,AC133919.1,38
MAGEA12,ENSG00000213401,Gene Expression,GRCh38,3,3.0,MAGEA12,3
UBA5,ENSG00000081307,Gene Expression,GRCh38,1171,1379.0,UBA5,1171
RHPN1,ENSG00000158106,Gene Expression,GRCh38,16,16.0,RHPN1,16
MRPL16,ENSG00000166902,Gene Expression,GRCh38,1064,1289.0,MRPL16,1064
SCN2A,ENSG00000136531,Gene Expression,GRCh38,54,54.0,SCN2A,54
AC025048.4,ENSG00000267416,Gene Expression,GRCh38,5,5.0,AC025048.4,5
AC073575.1,ENSG00000258323,Gene Expression,GRCh38,4,4.0,AC073575.1,4
GTSE1,ENSG00000075218,Gene Expression,GRCh38,97,131.0,GTSE1,97
AL109811.2,ENSG00000230337,Gene Expression,GRCh38,13,13.0,AL109811.2,13
GRINA,ENSG00000178719,Gene Expression,GRCh38,2628,4368.0,GRINA,2628
SHLD3,ENSG00000253251,Gene Expression,GRCh38,101,104.0,SHLD3,101
APOBEC3G,ENSG00000239713,Gene Expression,GRCh38,23,23.0,APOBEC3G,23
MRPL38,ENSG00000204316,Gene Expression,GRCh38,66,68.0,MRPL38,66
AC008915.2,ENSG00000260136,Gene Expression,GRCh38,294,318.0,AC008915.2,294
CEP120,ENSG00000168944,Gene Expression,GRCh38,414,448.0,CEP120,414
HDAC1,ENSG00000116478,Gene Expression,GRCh38,1951,2546.0,HDAC1,1951
APOBEC3D,ENSG00000243811,Gene Expression,GRCh38,9,9.0,APOBEC3D,9
ARHGAP35,ENSG00000160007,Gene Expression,GRCh38,186,192.0,ARHGAP35,186
UTRN,ENSG00000152818,Gene Expression,GRCh38,484,564.0,UTRN,484
CCL17,ENSG00000102970,Gene Expression,GRCh38,5,5.0,CCL17,5
HSD11B1L,ENSG00000167733,Gene Expression,GRCh38,443,491.0,HSD11B1L,443
RRM1,ENSG00000167325,Gene Expression,GRCh38,658,745.0,RRM1,658
AC022126.1,ENSG00000248898,Gene Expression,GRCh38,5,6.0,AC022126.1,5
LINC00630,ENSG00000223546,Gene Expression,GRCh38,154,160.0,LINC00630,154
SF3B2,ENSG00000087365,Gene Expression,GRCh38,3426,5737.0,SF3B2,3426
CARHSP1,ENSG00000153048,Gene Expression,GRCh38,3521,7959.0,CARHSP1,3521
RPTOR,ENSG00000141564,Gene Expression,GRCh38,341,358.0,RPTOR,341
AC131238.1,ENSG00000274859,Gene Expression,GRCh38,3,3.0,AC131238.1,3
AC005225.2,ENSG00000258603,Gene Expression,GRCh38,5,5.0,AC005225.2,5
ZSCAN31,ENSG00000235109,Gene Expression,GRCh38,41,43.0,ZSCAN31,41
