,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
AC062017.1,ENSG00000222020,Gene Expression,GRCh38,9.0,AC062017.1,7
COL17A1,ENSG00000065618,Gene Expression,GRCh38,963.0,COL17A1,917
AC133919.2,ENSG00000261172,Gene Expression,GRCh38,2.0,AC133919.2,2
HBQ1,ENSG00000086506,Gene Expression,GRCh38,5.0,HBQ1,5
RPN1,ENSG00000163902,Gene Expression,GRCh38,10734.0,RPN1,9616
TMEM179,ENSG00000258986,Gene Expression,GRCh38,2.0,TMEM179,2
AC022173.1,ENSG00000237243,Gene Expression,GRCh38,2.0,AC022173.1,2
DRC1,ENSG00000157856,Gene Expression,GRCh38,5.0,DRC1,5
ZNF625-ZNF20,ENSG00000213297,Gene Expression,GRCh38,5.0,ZNF625-ZNF20,5
ZDHHC23,ENSG00000184307,Gene Expression,GRCh38,66.0,ZDHHC23,66
CMTM1,ENSG00000089505,Gene Expression,GRCh38,5.0,CMTM1,5
LINC01907,ENSG00000226125,Gene Expression,GRCh38,3.0,LINC01907,3
AC069360.1,ENSG00000250041,Gene Expression,GRCh38,2.0,AC069360.1,2
CKMT1B,ENSG00000237289,Gene Expression,GRCh38,764.0,CKMT1B,753
AC004801.6,ENSG00000276814,Gene Expression,GRCh38,2.0,AC004801.6,2
SNX32,ENSG00000172803,Gene Expression,GRCh38,6.0,SNX32,6
KIF14,ENSG00000118193,Gene Expression,GRCh38,38.0,KIF14,38
MZT2A,ENSG00000173272,Gene Expression,GRCh38,1170.0,MZT2A,1107
ZNF84,ENSG00000198040,Gene Expression,GRCh38,148.0,ZNF84,144
AL163051.1,ENSG00000260806,Gene Expression,GRCh38,59.0,AL163051.1,57
AC010834.2,ENSG00000253848,Gene Expression,GRCh38,9.0,AC010834.2,9
ATP2B1,ENSG00000070961,Gene Expression,GRCh38,1480.0,ATP2B1,1424
VGLL3,ENSG00000206538,Gene Expression,GRCh38,46319.0,VGLL3,31613
HAS3,ENSG00000103044,Gene Expression,GRCh38,106.0,HAS3,105
BRD9,ENSG00000028310,Gene Expression,GRCh38,2265.0,BRD9,2133
AFAP1,ENSG00000196526,Gene Expression,GRCh38,5975.0,AFAP1,5587
REM2,ENSG00000139890,Gene Expression,GRCh38,17.0,REM2,17
AC016876.1,ENSG00000233223,Gene Expression,GRCh38,41.0,AC016876.1,41
TCTN1,ENSG00000204852,Gene Expression,GRCh38,411.0,TCTN1,399
CHST14,ENSG00000169105,Gene Expression,GRCh38,487.0,CHST14,477
ACTR3B,ENSG00000133627,Gene Expression,GRCh38,234.0,ACTR3B,225
BZW1,ENSG00000082153,Gene Expression,GRCh38,9945.0,BZW1,9019
POLR2J3,ENSG00000168255,Gene Expression,GRCh38,66.0,POLR2J3,66
AC106779.1,ENSG00000261302,Gene Expression,GRCh38,2.0,AC106779.1,1
FAM83D,ENSG00000101447,Gene Expression,GRCh38,522.0,FAM83D,512
CHERP,ENSG00000085872,Gene Expression,GRCh38,909.0,CHERP,877
BICRAL,ENSG00000112624,Gene Expression,GRCh38,220.0,BICRAL,218
AL445470.1,ENSG00000234754,Gene Expression,GRCh38,5.0,AL445470.1,5
PTPA,ENSG00000119383,Gene Expression,GRCh38,1719.0,PTPA,1666
CRIP1,ENSG00000213145,Gene Expression,GRCh38,148.0,CRIP1,147
TBX2-AS1,ENSG00000267280,Gene Expression,GRCh38,25.0,TBX2-AS1,25
AC090229.1,ENSG00000267397,Gene Expression,GRCh38,12.0,AC090229.1,12
AC016650.1,ENSG00000250981,Gene Expression,GRCh38,1.0,AC016650.1,1
NSD1,ENSG00000165671,Gene Expression,GRCh38,1137.0,NSD1,1102
SNHG15,ENSG00000232956,Gene Expression,GRCh38,673.0,SNHG15,653
PIGG,ENSG00000174227,Gene Expression,GRCh38,618.0,PIGG,603
ZNF678,ENSG00000181450,Gene Expression,GRCh38,104.0,ZNF678,104
KCNJ2,ENSG00000123700,Gene Expression,GRCh38,227.0,KCNJ2,223
SCAI,ENSG00000173611,Gene Expression,GRCh38,119.0,SCAI,117
AC011481.2,ENSG00000267282,Gene Expression,GRCh38,2.0,AC011481.2,2
TOLLIP-AS1,ENSG00000255153,Gene Expression,GRCh38,11.0,TOLLIP-AS1,11
RABGGTB,ENSG00000137955,Gene Expression,GRCh38,1490.0,RABGGTB,1457
SCGB2B2,ENSG00000205209,Gene Expression,GRCh38,2.0,SCGB2B2,2
AC073911.1,ENSG00000246394,Gene Expression,GRCh38,4.0,AC073911.1,4
LINC00539,ENSG00000224429,Gene Expression,GRCh38,1.0,LINC00539,1
RASD2,ENSG00000100302,Gene Expression,GRCh38,1.0,RASD2,1
AC005498.2,ENSG00000267421,Gene Expression,GRCh38,11.0,AC005498.2,10
LINC02046,ENSG00000242440,Gene Expression,GRCh38,3.0,LINC02046,3
TBPL2,ENSG00000182521,Gene Expression,GRCh38,4.0,TBPL2,4
OTOP2,ENSG00000183034,Gene Expression,GRCh38,2.0,OTOP2,2
AC007262.2,ENSG00000284959,Gene Expression,GRCh38,3.0,AC007262.2,3
AC126773.1,ENSG00000260084,Gene Expression,GRCh38,2.0,AC126773.1,2
AC004528.2,ENSG00000274177,Gene Expression,GRCh38,1.0,AC004528.2,1
SNX8,ENSG00000106266,Gene Expression,GRCh38,1325.0,SNX8,1278
SPCS2,ENSG00000118363,Gene Expression,GRCh38,8485.0,SPCS2,7590
IFNLR1,ENSG00000185436,Gene Expression,GRCh38,80.0,IFNLR1,80
SLF2,ENSG00000119906,Gene Expression,GRCh38,464.0,SLF2,455
SLC30A1,ENSG00000170385,Gene Expression,GRCh38,1416.0,SLC30A1,1375
GADD45G,ENSG00000130222,Gene Expression,GRCh38,5026.0,GADD45G,4721
PHF7,ENSG00000010318,Gene Expression,GRCh38,54.0,PHF7,54
UBE2H,ENSG00000186591,Gene Expression,GRCh38,6332.0,UBE2H,5827
GPT2,ENSG00000166123,Gene Expression,GRCh38,1531.0,GPT2,1476
XKR4,ENSG00000206579,Gene Expression,GRCh38,6.0,XKR4,6
IDNK,ENSG00000148057,Gene Expression,GRCh38,40.0,IDNK,40
CASP2,ENSG00000106144,Gene Expression,GRCh38,943.0,CASP2,924
AC137630.2,ENSG00000235236,Gene Expression,GRCh38,8.0,AC137630.2,8
RASGRP2,ENSG00000068831,Gene Expression,GRCh38,445.0,RASGRP2,410
AC010680.2,ENSG00000270574,Gene Expression,GRCh38,11.0,AC010680.2,11
KRT5,ENSG00000186081,Gene Expression,GRCh38,1.0,KRT5,1
NCBP2-AS1,ENSG00000225578,Gene Expression,GRCh38,0.0,NCBP2-AS1,0
SEZ6L2,ENSG00000174938,Gene Expression,GRCh38,10.0,SEZ6L2,10
ATRAID,ENSG00000138085,Gene Expression,GRCh38,5764.0,ATRAID,5351
CTNS,ENSG00000040531,Gene Expression,GRCh38,266.0,CTNS,259
AC092567.1,ENSG00000226605,Gene Expression,GRCh38,1.0,AC092567.1,1
ARHGAP28,ENSG00000088756,Gene Expression,GRCh38,135.0,ARHGAP28,132
DCAF10,ENSG00000122741,Gene Expression,GRCh38,801.0,DCAF10,777
DCXR,ENSG00000169738,Gene Expression,GRCh38,7455.0,DCXR,6797
AC024575.1,ENSG00000267277,Gene Expression,GRCh38,3.0,AC024575.1,3
AC098859.2,ENSG00000250977,Gene Expression,GRCh38,1.0,AC098859.2,1
GRIPAP1,ENSG00000068400,Gene Expression,GRCh38,471.0,GRIPAP1,467
BOK-AS1,ENSG00000234235,Gene Expression,GRCh38,0.0,BOK-AS1,0
AC069544.1,ENSG00000272853,Gene Expression,GRCh38,12.0,AC069544.1,12
EGLN1,ENSG00000135766,Gene Expression,GRCh38,1342.0,EGLN1,1317
ALPK3,ENSG00000136383,Gene Expression,GRCh38,206.0,ALPK3,202
DNM3OS,ENSG00000230630,Gene Expression,GRCh38,3.0,DNM3OS,3
NDUFAF4,ENSG00000123545,Gene Expression,GRCh38,735.0,NDUFAF4,703
FRAS1,ENSG00000138759,Gene Expression,GRCh38,3.0,FRAS1,3
STK33,ENSG00000130413,Gene Expression,GRCh38,1.0,STK33,1
CKAP2,ENSG00000136108,Gene Expression,GRCh38,733.0,CKAP2,703
HNRNPAB,ENSG00000197451,Gene Expression,GRCh38,7516.0,HNRNPAB,6751
GSTP1,ENSG00000084207,Gene Expression,GRCh38,42557.0,GSTP1,29905
GNG5,ENSG00000174021,Gene Expression,GRCh38,19210.0,GNG5,15603
AC004257.1,ENSG00000269635,Gene Expression,GRCh38,0.0,AC004257.1,0
AL589745.2,ENSG00000276854,Gene Expression,GRCh38,2.0,AL589745.2,2
MBD5,ENSG00000204406,Gene Expression,GRCh38,417.0,MBD5,408
CCDC43,ENSG00000180329,Gene Expression,GRCh38,1575.0,CCDC43,1509
OGG1,ENSG00000114026,Gene Expression,GRCh38,112.0,OGG1,109
AL451085.1,ENSG00000270361,Gene Expression,GRCh38,6.0,AL451085.1,6
LINC01551,ENSG00000186960,Gene Expression,GRCh38,1.0,LINC01551,1
SYF2,ENSG00000117614,Gene Expression,GRCh38,6477.0,SYF2,5701
TJP1,ENSG00000104067,Gene Expression,GRCh38,2013.0,TJP1,1951
CPNE8,ENSG00000139117,Gene Expression,GRCh38,629.0,CPNE8,613
SLC10A1,ENSG00000100652,Gene Expression,GRCh38,0.0,SLC10A1,0
AKR7A3,ENSG00000162482,Gene Expression,GRCh38,13.0,AKR7A3,13
MMAA,ENSG00000151611,Gene Expression,GRCh38,133.0,MMAA,130
ACAN,ENSG00000157766,Gene Expression,GRCh38,910.0,ACAN,863
NUTM2A,ENSG00000184923,Gene Expression,GRCh38,1.0,NUTM2A,1
AC008764.2,ENSG00000268087,Gene Expression,GRCh38,5.0,AC008764.2,5
AC100810.1,ENSG00000253982,Gene Expression,GRCh38,352.0,AC100810.1,344
ALDOB,ENSG00000136872,Gene Expression,GRCh38,0.0,ALDOB,0
IL36RN,ENSG00000136695,Gene Expression,GRCh38,448.0,IL36RN,436
RNF24,ENSG00000101236,Gene Expression,GRCh38,306.0,RNF24,295
LTV1,ENSG00000135521,Gene Expression,GRCh38,488.0,LTV1,474
STOML2,ENSG00000165283,Gene Expression,GRCh38,2615.0,STOML2,2483
MAGEC2,ENSG00000046774,Gene Expression,GRCh38,2.0,MAGEC2,2
ABLIM1,ENSG00000099204,Gene Expression,GRCh38,242.0,ABLIM1,233
AL078459.1,ENSG00000223653,Gene Expression,GRCh38,22.0,AL078459.1,22
AP000355.1,ENSG00000228923,Gene Expression,GRCh38,1.0,AP000355.1,1
MCTP2,ENSG00000140563,Gene Expression,GRCh38,337.0,MCTP2,334
AC021752.1,ENSG00000273674,Gene Expression,GRCh38,14.0,AC021752.1,14
MOSPD3,ENSG00000106330,Gene Expression,GRCh38,316.0,MOSPD3,307
CLYBL,ENSG00000125246,Gene Expression,GRCh38,76.0,CLYBL,71
ZNF583,ENSG00000198440,Gene Expression,GRCh38,25.0,ZNF583,24
AC103993.1,ENSG00000253207,Gene Expression,GRCh38,1.0,AC103993.1,1
SCN4B,ENSG00000177098,Gene Expression,GRCh38,4.0,SCN4B,4
ENAH,ENSG00000154380,Gene Expression,GRCh38,1713.0,ENAH,1643
TMC8,ENSG00000167895,Gene Expression,GRCh38,31.0,TMC8,31
AC011453.1,ENSG00000269842,Gene Expression,GRCh38,268.0,AC011453.1,263
OXT,ENSG00000101405,Gene Expression,GRCh38,1.0,OXT,1
ENO2,ENSG00000111674,Gene Expression,GRCh38,12.0,ENO2,12
TMEM92,ENSG00000167105,Gene Expression,GRCh38,43.0,TMEM92,42
TAB3,ENSG00000157625,Gene Expression,GRCh38,1461.0,TAB3,1430
XYLT1,ENSG00000103489,Gene Expression,GRCh38,432.0,XYLT1,421
TMEM30A,ENSG00000112697,Gene Expression,GRCh38,2638.0,TMEM30A,2517
AC023830.2,ENSG00000261789,Gene Expression,GRCh38,5.0,AC023830.2,5
MSH3,ENSG00000113318,Gene Expression,GRCh38,521.0,MSH3,503
HNRNPA1P48,ENSG00000224578,Gene Expression,GRCh38,241.0,HNRNPA1P48,241
FLVCR1-DT,ENSG00000198468,Gene Expression,GRCh38,29.0,FLVCR1-DT,29
AP001999.1,ENSG00000251226,Gene Expression,GRCh38,2.0,AP001999.1,2
MBOAT1,ENSG00000172197,Gene Expression,GRCh38,9.0,MBOAT1,9
TRIM41,ENSG00000146063,Gene Expression,GRCh38,520.0,TRIM41,504
LINC01722,ENSG00000233048,Gene Expression,GRCh38,0.0,LINC01722,0
TMEM272,ENSG00000281106,Gene Expression,GRCh38,3.0,TMEM272,3
TMTC1,ENSG00000133687,Gene Expression,GRCh38,6.0,TMTC1,6
MROH7-TTC4,ENSG00000271723,Gene Expression,GRCh38,1.0,MROH7-TTC4,1
IGSF9,ENSG00000085552,Gene Expression,GRCh38,12.0,IGSF9,12
FH,ENSG00000091483,Gene Expression,GRCh38,888.0,FH,864
TEX35,ENSG00000240021,Gene Expression,GRCh38,34.0,TEX35,33
MYT1L,ENSG00000186487,Gene Expression,GRCh38,8.0,MYT1L,8
HLCS,ENSG00000159267,Gene Expression,GRCh38,384.0,HLCS,371
AC106900.2,ENSG00000270460,Gene Expression,GRCh38,5.0,AC106900.2,5
SEPT7,ENSG00000122545,Gene Expression,GRCh38,5929.0,SEPT7,5436
AC009133.2,ENSG00000259952,Gene Expression,GRCh38,7.0,AC009133.2,7
SHISA9,ENSG00000237515,Gene Expression,GRCh38,9.0,SHISA9,9
CCRL2,ENSG00000121797,Gene Expression,GRCh38,102.0,CCRL2,99
LINC02334,ENSG00000274317,Gene Expression,GRCh38,25.0,LINC02334,25
TRMT5,ENSG00000126814,Gene Expression,GRCh38,415.0,TRMT5,402
ORC5,ENSG00000164815,Gene Expression,GRCh38,293.0,ORC5,283
AC104187.1,ENSG00000271937,Gene Expression,GRCh38,3.0,AC104187.1,3
RPRD1A,ENSG00000141425,Gene Expression,GRCh38,924.0,RPRD1A,893
IFT74,ENSG00000096872,Gene Expression,GRCh38,504.0,IFT74,487
AL390778.1,ENSG00000227958,Gene Expression,GRCh38,1.0,AL390778.1,1
MVB12A,ENSG00000141971,Gene Expression,GRCh38,1194.0,MVB12A,1158
GMEB1,ENSG00000162419,Gene Expression,GRCh38,675.0,GMEB1,639
AIFM3,ENSG00000183773,Gene Expression,GRCh38,70.0,AIFM3,69
LARP4B,ENSG00000107929,Gene Expression,GRCh38,2403.0,LARP4B,2310
NDUFS7,ENSG00000115286,Gene Expression,GRCh38,3543.0,NDUFS7,3315
PWP1,ENSG00000136045,Gene Expression,GRCh38,1653.0,PWP1,1591
ZNF275,ENSG00000063587,Gene Expression,GRCh38,271.0,ZNF275,263
AL080250.1,ENSG00000225793,Gene Expression,GRCh38,17.0,AL080250.1,17
SCN3B,ENSG00000166257,Gene Expression,GRCh38,8.0,SCN3B,8
CTDP1,ENSG00000060069,Gene Expression,GRCh38,420.0,CTDP1,418
PPP4R2,ENSG00000163605,Gene Expression,GRCh38,4335.0,PPP4R2,4096
POLR3D,ENSG00000168495,Gene Expression,GRCh38,1436.0,POLR3D,1356
MAP3K1,ENSG00000095015,Gene Expression,GRCh38,1289.0,MAP3K1,1240
PIK3C2B,ENSG00000133056,Gene Expression,GRCh38,898.0,PIK3C2B,875
CHMP4A,ENSG00000254505,Gene Expression,GRCh38,1253.0,CHMP4A,1207
ITGA3,ENSG00000005884,Gene Expression,GRCh38,3228.0,ITGA3,3079
LINC00685,ENSG00000226179,Gene Expression,GRCh38,67.0,LINC00685,62
ZNF394,ENSG00000160908,Gene Expression,GRCh38,426.0,ZNF394,414
TTL,ENSG00000114999,Gene Expression,GRCh38,398.0,TTL,378
AC021683.2,ENSG00000267506,Gene Expression,GRCh38,0.0,AC021683.2,0
AL050331.2,ENSG00000236326,Gene Expression,GRCh38,4.0,AL050331.2,4
SYNE1,ENSG00000131018,Gene Expression,GRCh38,345.0,SYNE1,337
VSIG10L2,ENSG00000283703,Gene Expression,GRCh38,2.0,VSIG10L2,2
AP000487.2,ENSG00000254495,Gene Expression,GRCh38,0.0,AP000487.2,0
AC243836.1,ENSG00000229484,Gene Expression,GRCh38,1.0,AC243836.1,1
GLS2,ENSG00000135423,Gene Expression,GRCh38,1.0,GLS2,1
SMIM31,ENSG00000248771,Gene Expression,GRCh38,2.0,SMIM31,2
AL359921.2,ENSG00000273058,Gene Expression,GRCh38,19.0,AL359921.2,19
PSG4,ENSG00000243137,Gene Expression,GRCh38,56868.0,PSG4,35753
BBIP1,ENSG00000214413,Gene Expression,GRCh38,425.0,BBIP1,410
AF240627.1,ENSG00000230233,Gene Expression,GRCh38,1.0,AF240627.1,1
AC007493.2,ENSG00000261393,Gene Expression,GRCh38,2.0,AC007493.2,2
VIPR1,ENSG00000114812,Gene Expression,GRCh38,57.0,VIPR1,57
PHF14,ENSG00000106443,Gene Expression,GRCh38,1427.0,PHF14,1356
KMT2E-AS1,ENSG00000239569,Gene Expression,GRCh38,112.0,KMT2E-AS1,108
AL121772.3,ENSG00000276952,Gene Expression,GRCh38,9.0,AL121772.3,9
CDC25C,ENSG00000158402,Gene Expression,GRCh38,16.0,CDC25C,16
DAGLA,ENSG00000134780,Gene Expression,GRCh38,0.0,DAGLA,0
SLC12A5,ENSG00000124140,Gene Expression,GRCh38,24.0,SLC12A5,24
JADE3,ENSG00000102221,Gene Expression,GRCh38,1403.0,JADE3,1362
FHOD3,ENSG00000134775,Gene Expression,GRCh38,313.0,FHOD3,303
AC010457.1,ENSG00000251257,Gene Expression,GRCh38,7.0,AC010457.1,7
AGK,ENSG00000006530,Gene Expression,GRCh38,269.0,AGK,264
TEKT4,ENSG00000163060,Gene Expression,GRCh38,10.0,TEKT4,10
TAL2,ENSG00000186051,Gene Expression,GRCh38,1.0,TAL2,1
ZNF45,ENSG00000124459,Gene Expression,GRCh38,62.0,ZNF45,62
FAM136A,ENSG00000035141,Gene Expression,GRCh38,1478.0,FAM136A,1411
AC008938.1,ENSG00000260072,Gene Expression,GRCh38,6.0,AC008938.1,6
DISP2,ENSG00000140323,Gene Expression,GRCh38,98.0,DISP2,95
CITED2,ENSG00000164442,Gene Expression,GRCh38,9692.0,CITED2,8715
MT1E,ENSG00000169715,Gene Expression,GRCh38,5125.0,MT1E,4721
FBXW5,ENSG00000159069,Gene Expression,GRCh38,3551.0,FBXW5,3356
ZNF112,ENSG00000062370,Gene Expression,GRCh38,21.0,ZNF112,21
SLC27A3,ENSG00000143554,Gene Expression,GRCh38,135.0,SLC27A3,135
RUSC2,ENSG00000198853,Gene Expression,GRCh38,409.0,RUSC2,401
WDR88,ENSG00000166359,Gene Expression,GRCh38,2.0,WDR88,2
BCAT1,ENSG00000060982,Gene Expression,GRCh38,731.0,BCAT1,706
POMK,ENSG00000185900,Gene Expression,GRCh38,41.0,POMK,41
ZBTB14,ENSG00000198081,Gene Expression,GRCh38,186.0,ZBTB14,182
CUL5,ENSG00000166266,Gene Expression,GRCh38,1710.0,CUL5,1640
LINC01209,ENSG00000228308,Gene Expression,GRCh38,7.0,LINC01209,7
ZBTB8A,ENSG00000160062,Gene Expression,GRCh38,79.0,ZBTB8A,77
TP53BP1,ENSG00000067369,Gene Expression,GRCh38,1425.0,TP53BP1,1371
AL138960.1,ENSG00000277831,Gene Expression,GRCh38,1.0,AL138960.1,1
TCTE3,ENSG00000184786,Gene Expression,GRCh38,20.0,TCTE3,20
AC108673.2,ENSG00000273174,Gene Expression,GRCh38,15.0,AC108673.2,15
APBB1,ENSG00000166313,Gene Expression,GRCh38,11.0,APBB1,11
TMEM139,ENSG00000178826,Gene Expression,GRCh38,452.0,TMEM139,439
AC136475.9,ENSG00000270972,Gene Expression,GRCh38,1.0,AC136475.9,1
AC107081.2,ENSG00000236498,Gene Expression,GRCh38,9.0,AC107081.2,9
BDNF,ENSG00000176697,Gene Expression,GRCh38,67.0,BDNF,64
AC007249.2,ENSG00000257135,Gene Expression,GRCh38,3.0,AC007249.2,3
AL121992.1,ENSG00000237301,Gene Expression,GRCh38,2.0,AL121992.1,2
LINC00348,ENSG00000226846,Gene Expression,GRCh38,6.0,LINC00348,6
AC008738.4,ENSG00000267714,Gene Expression,GRCh38,1.0,AC008738.4,1
CUTC,ENSG00000119929,Gene Expression,GRCh38,314.0,CUTC,307
AL009178.2,ENSG00000269155,Gene Expression,GRCh38,1.0,AL009178.2,1
ERICH1,ENSG00000104714,Gene Expression,GRCh38,1704.0,ERICH1,1580
ZNF486,ENSG00000256229,Gene Expression,GRCh38,206.0,ZNF486,197
CRB1,ENSG00000134376,Gene Expression,GRCh38,8.0,CRB1,8
ERCC2,ENSG00000104884,Gene Expression,GRCh38,366.0,ERCC2,360
TECTA,ENSG00000109927,Gene Expression,GRCh38,2.0,TECTA,2
ELOA-AS1,ENSG00000236810,Gene Expression,GRCh38,118.0,ELOA-AS1,116
AC032011.1,ENSG00000274340,Gene Expression,GRCh38,2.0,AC032011.1,2
FBXO30,ENSG00000118496,Gene Expression,GRCh38,587.0,FBXO30,571
GABRA4,ENSG00000109158,Gene Expression,GRCh38,1.0,GABRA4,1
TENT5B,ENSG00000158246,Gene Expression,GRCh38,127.0,TENT5B,125
SDAD1,ENSG00000198301,Gene Expression,GRCh38,945.0,SDAD1,909
U62317.4,ENSG00000272940,Gene Expression,GRCh38,4.0,U62317.4,4
MSMO1,ENSG00000052802,Gene Expression,GRCh38,5176.0,MSMO1,4842
CCDC112,ENSG00000164221,Gene Expression,GRCh38,507.0,CCDC112,471
CUL7,ENSG00000044090,Gene Expression,GRCh38,340.0,CUL7,335
RSPH4A,ENSG00000111834,Gene Expression,GRCh38,3.0,RSPH4A,3
MSI1,ENSG00000135097,Gene Expression,GRCh38,60.0,MSI1,59
BAALC-AS1,ENSG00000247081,Gene Expression,GRCh38,23.0,BAALC-AS1,23
S100A7A,ENSG00000184330,Gene Expression,GRCh38,99.0,S100A7A,91
FBLN5,ENSG00000140092,Gene Expression,GRCh38,363.0,FBLN5,355
SETBP1,ENSG00000152217,Gene Expression,GRCh38,82.0,SETBP1,82
ERMN,ENSG00000136541,Gene Expression,GRCh38,7.0,ERMN,6
CCNE1,ENSG00000105173,Gene Expression,GRCh38,23740.0,CCNE1,18809
TBC1D10C,ENSG00000175463,Gene Expression,GRCh38,3.0,TBC1D10C,3
CD24,ENSG00000272398,Gene Expression,GRCh38,2888.0,CD24,2753
RYR2,ENSG00000198626,Gene Expression,GRCh38,7.0,RYR2,7
PDCD7,ENSG00000090470,Gene Expression,GRCh38,1123.0,PDCD7,1077
NGF,ENSG00000134259,Gene Expression,GRCh38,22.0,NGF,21
LINC00926,ENSG00000247982,Gene Expression,GRCh38,20.0,LINC00926,20
GZF1,ENSG00000125812,Gene Expression,GRCh38,207.0,GZF1,205
TUBGCP6,ENSG00000128159,Gene Expression,GRCh38,279.0,TUBGCP6,276
PIGBOS1,ENSG00000225973,Gene Expression,GRCh38,712.0,PIGBOS1,680
PRMT5,ENSG00000100462,Gene Expression,GRCh38,802.0,PRMT5,771
TTC39B,ENSG00000155158,Gene Expression,GRCh38,83.0,TTC39B,82
AP000695.2,ENSG00000233818,Gene Expression,GRCh38,3.0,AP000695.2,3
LIAS,ENSG00000121897,Gene Expression,GRCh38,284.0,LIAS,280
FAM41C,ENSG00000230368,Gene Expression,GRCh38,26.0,FAM41C,25
MTRNR2L1,ENSG00000256618,Gene Expression,GRCh38,3453.0,MTRNR2L1,3247
VTI1B,ENSG00000100568,Gene Expression,GRCh38,6322.0,VTI1B,5763
C4BPB,ENSG00000123843,Gene Expression,GRCh38,472.0,C4BPB,436
CNPY3,ENSG00000137161,Gene Expression,GRCh38,2824.0,CNPY3,2709
C1QTNF2,ENSG00000145861,Gene Expression,GRCh38,3.0,C1QTNF2,3
VPS33A,ENSG00000139719,Gene Expression,GRCh38,498.0,VPS33A,491
MRPS36,ENSG00000134056,Gene Expression,GRCh38,7005.0,MRPS36,6202
KANK3,ENSG00000186994,Gene Expression,GRCh38,3.0,KANK3,3
MAP1LC3B2,ENSG00000258102,Gene Expression,GRCh38,239.0,MAP1LC3B2,236
MPRIP,ENSG00000133030,Gene Expression,GRCh38,3147.0,MPRIP,3001
HADHB,ENSG00000138029,Gene Expression,GRCh38,1596.0,HADHB,1552
DLG3-AS1,ENSG00000231651,Gene Expression,GRCh38,5.0,DLG3-AS1,4
GORASP2,ENSG00000115806,Gene Expression,GRCh38,3477.0,GORASP2,3334
NOBOX,ENSG00000106410,Gene Expression,GRCh38,1.0,NOBOX,1
XRCC4,ENSG00000152422,Gene Expression,GRCh38,543.0,XRCC4,524
HIGD2A,ENSG00000146066,Gene Expression,GRCh38,1974.0,HIGD2A,1888
LINC01238-1,ENSG00000261186,Gene Expression,GRCh38,1.0,LINC01238-1,1
AC026471.2,ENSG00000260625,Gene Expression,GRCh38,0.0,AC026471.2,0
HIST2H2AC,ENSG00000184260,Gene Expression,GRCh38,694.0,HIST2H2AC,681
RNF180,ENSG00000164197,Gene Expression,GRCh38,2.0,RNF180,2
TMEM120B,ENSG00000188735,Gene Expression,GRCh38,735.0,TMEM120B,713
CFAP73,ENSG00000186710,Gene Expression,GRCh38,8.0,CFAP73,8
CDKN3,ENSG00000100526,Gene Expression,GRCh38,114.0,CDKN3,108
OSGEPL1,ENSG00000128694,Gene Expression,GRCh38,130.0,OSGEPL1,127
ARSE,ENSG00000157399,Gene Expression,GRCh38,2.0,ARSE,2
CCNY,ENSG00000108100,Gene Expression,GRCh38,1686.0,CCNY,1634
LINC01611,ENSG00000231776,Gene Expression,GRCh38,0.0,LINC01611,0
HDDC3,ENSG00000184508,Gene Expression,GRCh38,774.0,HDDC3,753
RPS17,ENSG00000182774,Gene Expression,GRCh38,8208.0,RPS17,7506
AC245100.7,ENSG00000272824,Gene Expression,GRCh38,7.0,AC245100.7,7
YARS2,ENSG00000139131,Gene Expression,GRCh38,341.0,YARS2,337
CAPS,ENSG00000105519,Gene Expression,GRCh38,1590.0,CAPS,1549
FILIP1L,ENSG00000168386,Gene Expression,GRCh38,104.0,FILIP1L,99
SGPP2,ENSG00000163082,Gene Expression,GRCh38,60.0,SGPP2,59
SLC35A4,ENSG00000176087,Gene Expression,GRCh38,1448.0,SLC35A4,1400
AF131216.4,ENSG00000280273,Gene Expression,GRCh38,7.0,AF131216.4,7
NABP1,ENSG00000173559,Gene Expression,GRCh38,1852.0,NABP1,1794
AC243654.1,ENSG00000273965,Gene Expression,GRCh38,1.0,AC243654.1,1
ZBBX,ENSG00000169064,Gene Expression,GRCh38,1.0,ZBBX,1
WIPF3,ENSG00000122574,Gene Expression,GRCh38,9.0,WIPF3,9
GNG12-AS1,ENSG00000232284,Gene Expression,GRCh38,23.0,GNG12-AS1,22
ZC4H2,ENSG00000126970,Gene Expression,GRCh38,5.0,ZC4H2,5
RIN2,ENSG00000132669,Gene Expression,GRCh38,268.0,RIN2,264
PRSS27,ENSG00000172382,Gene Expression,GRCh38,402.0,PRSS27,389
DUSP5,ENSG00000138166,Gene Expression,GRCh38,13148.0,DUSP5,11565
NEFH,ENSG00000100285,Gene Expression,GRCh38,34.0,NEFH,33
AP002807.1,ENSG00000255031,Gene Expression,GRCh38,72.0,AP002807.1,70
GNA12,ENSG00000146535,Gene Expression,GRCh38,1645.0,GNA12,1585
PRDM2,ENSG00000116731,Gene Expression,GRCh38,2066.0,PRDM2,1971
SELENOO,ENSG00000073169,Gene Expression,GRCh38,408.0,SELENOO,401
AP001107.1,ENSG00000245156,Gene Expression,GRCh38,11.0,AP001107.1,9
ZNF865,ENSG00000261221,Gene Expression,GRCh38,180.0,ZNF865,175
ANO1,ENSG00000131620,Gene Expression,GRCh38,347.0,ANO1,344
AC026391.1,ENSG00000235140,Gene Expression,GRCh38,1.0,AC026391.1,1
GCH1,ENSG00000131979,Gene Expression,GRCh38,3591.0,GCH1,3444
