,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
SEC31A,ENSG00000138674,Gene Expression,GRCh38,4255,8826.0,SEC31A,4255
SEMA3E,ENSG00000170381,Gene Expression,GRCh38,271,306.0,SEMA3E,271
TRIM67,ENSG00000119283,Gene Expression,GRCh38,5,5.0,TRIM67,5
EGLN1,ENSG00000135766,Gene Expression,GRCh38,1420,1819.0,EGLN1,1420
CLDN12,ENSG00000157224,Gene Expression,GRCh38,594,663.0,CLDN12,594
ATP6AP2,ENSG00000182220,Gene Expression,GRCh38,2277,3575.0,ATP6AP2,2277
STXBP1,ENSG00000136854,Gene Expression,GRCh38,692,782.0,STXBP1,692
SPN,ENSG00000197471,Gene Expression,GRCh38,10,11.0,SPN,10
HOXB8,ENSG00000120068,Gene Expression,GRCh38,7,7.0,HOXB8,7
AP001062.1,ENSG00000184441,Gene Expression,GRCh38,71,72.0,AP001062.1,71
SH3BGRL3,ENSG00000142669,Gene Expression,GRCh38,6143,32252.0,SH3BGRL3,6143
BBS9,ENSG00000122507,Gene Expression,GRCh38,230,237.0,BBS9,230
CD68,ENSG00000129226,Gene Expression,GRCh38,678,792.0,CD68,678
BANK1,ENSG00000153064,Gene Expression,GRCh38,135,137.0,BANK1,135
TMEM67,ENSG00000164953,Gene Expression,GRCh38,163,171.0,TMEM67,163
ZSWIM8,ENSG00000214655,Gene Expression,GRCh38,1147,1339.0,ZSWIM8,1147
MAPK4,ENSG00000141639,Gene Expression,GRCh38,185,208.0,MAPK4,185
NCAPH2,ENSG00000025770,Gene Expression,GRCh38,784,867.0,NCAPH2,784
APOL3,ENSG00000128284,Gene Expression,GRCh38,149,162.0,APOL3,149
AL138689.2,ENSG00000284966,Gene Expression,GRCh38,46,48.0,AL138689.2,46
PROSER3,ENSG00000167595,Gene Expression,GRCh38,102,105.0,PROSER3,102
ERH,ENSG00000100632,Gene Expression,GRCh38,3682,7790.0,ERH,3682
AKR1A1,ENSG00000117448,Gene Expression,GRCh38,2140,3231.0,AKR1A1,2140
PDE4D,ENSG00000113448,Gene Expression,GRCh38,143,154.0,PDE4D,143
AL162586.1,ENSG00000225032,Gene Expression,GRCh38,79,80.0,AL162586.1,79
DYNLL2,ENSG00000264364,Gene Expression,GRCh38,3678,6867.0,DYNLL2,3678
PRSS36,ENSG00000178226,Gene Expression,GRCh38,26,26.0,PRSS36,26
PDGFB,ENSG00000100311,Gene Expression,GRCh38,777,913.0,PDGFB,777
NUDT11,ENSG00000196368,Gene Expression,GRCh38,16,17.0,NUDT11,16
ZDHHC8,ENSG00000099904,Gene Expression,GRCh38,921,1064.0,ZDHHC8,921
NFKBIZ,ENSG00000144802,Gene Expression,GRCh38,2721,6457.0,NFKBIZ,2721
TRMT44,ENSG00000155275,Gene Expression,GRCh38,279,301.0,TRMT44,279
TPM1,ENSG00000140416,Gene Expression,GRCh38,9749,257406.0,TPM1,9749
VLDLR-AS1,ENSG00000236404,Gene Expression,GRCh38,99,108.0,VLDLR-AS1,99
AC092809.4,ENSG00000237101,Gene Expression,GRCh38,9,9.0,AC092809.4,9
NHP2,ENSG00000145912,Gene Expression,GRCh38,3377,7003.0,NHP2,3377
AP5M1,ENSG00000053770,Gene Expression,GRCh38,496,535.0,AP5M1,496
AC007333.2,ENSG00000260975,Gene Expression,GRCh38,5,5.0,AC007333.2,5
SDCBP,ENSG00000137575,Gene Expression,GRCh38,6056,19653.0,SDCBP,6056
LINC02452,ENSG00000283422,Gene Expression,GRCh38,43,63.0,LINC02452,43
UBXN11,ENSG00000158062,Gene Expression,GRCh38,1052,1301.0,UBXN11,1052
GMPS,ENSG00000163655,Gene Expression,GRCh38,576,637.0,GMPS,576
CEP152,ENSG00000103995,Gene Expression,GRCh38,362,401.0,CEP152,362
LEFTY1,ENSG00000243709,Gene Expression,GRCh38,3,3.0,LEFTY1,3
ZNF777,ENSG00000196453,Gene Expression,GRCh38,501,536.0,ZNF777,501
TSHZ3,ENSG00000121297,Gene Expression,GRCh38,4,4.0,TSHZ3,4
KDELR2,ENSG00000136240,Gene Expression,GRCh38,5562,18596.0,KDELR2,5562
CYP3A7,ENSG00000160870,Gene Expression,GRCh38,5,5.0,CYP3A7,5
TMX1,ENSG00000139921,Gene Expression,GRCh38,2411,4154.0,TMX1,2411
SERPINB6,ENSG00000124570,Gene Expression,GRCh38,4258,9608.0,SERPINB6,4258
RPL39L,ENSG00000163923,Gene Expression,GRCh38,548,593.0,RPL39L,548
ATXN7L2,ENSG00000162650,Gene Expression,GRCh38,57,57.0,ATXN7L2,57
SYNJ2,ENSG00000078269,Gene Expression,GRCh38,781,1044.0,SYNJ2,781
AL138478.1,ENSG00000277801,Gene Expression,GRCh38,6,6.0,AL138478.1,6
OLMALINC,ENSG00000235823,Gene Expression,GRCh38,230,250.0,OLMALINC,230
L3MBTL1,ENSG00000185513,Gene Expression,GRCh38,486,556.0,L3MBTL1,486
AURKAIP1,ENSG00000175756,Gene Expression,GRCh38,4165,9236.0,AURKAIP1,4165
AHCYL1,ENSG00000168710,Gene Expression,GRCh38,2355,3604.0,AHCYL1,2355
NALT1,ENSG00000237886,Gene Expression,GRCh38,9,9.0,NALT1,9
EDNRB,ENSG00000136160,Gene Expression,GRCh38,216,237.0,EDNRB,216
MYLK4,ENSG00000145949,Gene Expression,GRCh38,38,38.0,MYLK4,38
KIF23,ENSG00000137807,Gene Expression,GRCh38,196,224.0,KIF23,196
RAP1GDS1,ENSG00000138698,Gene Expression,GRCh38,529,594.0,RAP1GDS1,529
AC058791.1,ENSG00000273319,Gene Expression,GRCh38,536,641.0,AC058791.1,536
CCDC183-AS1,ENSG00000228544,Gene Expression,GRCh38,5,5.0,CCDC183-AS1,5
RPS11,ENSG00000142534,Gene Expression,GRCh38,9166,125810.0,RPS11,9166
ABI1,ENSG00000136754,Gene Expression,GRCh38,1819,2387.0,ABI1,1819
MIS18A-AS1,ENSG00000227256,Gene Expression,GRCh38,3,3.0,MIS18A-AS1,3
AMIGO1,ENSG00000181754,Gene Expression,GRCh38,17,18.0,AMIGO1,17
ARHGEF9,ENSG00000131089,Gene Expression,GRCh38,55,56.0,ARHGEF9,55
TNNI2,ENSG00000130598,Gene Expression,GRCh38,4476,22429.0,TNNI2,4476
EIF1,ENSG00000173812,Gene Expression,GRCh38,8054,58276.0,EIF1,8054
DPEP2NB,ENSG00000263201,Gene Expression,GRCh38,55,63.0,DPEP2NB,55
C19orf18,ENSG00000177025,Gene Expression,GRCh38,15,15.0,C19orf18,15
MOB3C,ENSG00000142961,Gene Expression,GRCh38,55,55.0,MOB3C,55
AC012668.3,ENSG00000237525,Gene Expression,GRCh38,16,16.0,AC012668.3,16
ELMSAN1,ENSG00000156030,Gene Expression,GRCh38,1637,2174.0,ELMSAN1,1637
AC005523.2,ENSG00000269604,Gene Expression,GRCh38,344,372.0,AC005523.2,344
LINC00305,ENSG00000179676,Gene Expression,GRCh38,13,14.0,LINC00305,13
FN3KRP,ENSG00000141560,Gene Expression,GRCh38,587,647.0,FN3KRP,587
UBE2G2,ENSG00000184787,Gene Expression,GRCh38,1559,2078.0,UBE2G2,1559
PSG1,ENSG00000231924,Gene Expression,GRCh38,2873,8330.0,PSG1,2873
KIF3C,ENSG00000084731,Gene Expression,GRCh38,227,240.0,KIF3C,227
ASF1A,ENSG00000111875,Gene Expression,GRCh38,842,1028.0,ASF1A,842
GTF2IRD2,ENSG00000196275,Gene Expression,GRCh38,290,313.0,GTF2IRD2,290
PKD1,ENSG00000008710,Gene Expression,GRCh38,595,664.0,PKD1,595
FLYWCH1,ENSG00000059122,Gene Expression,GRCh38,662,737.0,FLYWCH1,662
ERAL1,ENSG00000132591,Gene Expression,GRCh38,745,856.0,ERAL1,745
FAHD2B,ENSG00000144199,Gene Expression,GRCh38,47,47.0,FAHD2B,47
MAN1A2,ENSG00000198162,Gene Expression,GRCh38,3774,6936.0,MAN1A2,3774
CCSAP,ENSG00000154429,Gene Expression,GRCh38,3831,8516.0,CCSAP,3831
DNAJB5,ENSG00000137094,Gene Expression,GRCh38,69,72.0,DNAJB5,69
CALR,ENSG00000179218,Gene Expression,GRCh38,8747,102895.0,CALR,8747
TNRC6B,ENSG00000100354,Gene Expression,GRCh38,2154,3328.0,TNRC6B,2154
BIRC2,ENSG00000110330,Gene Expression,GRCh38,1370,1685.0,BIRC2,1370
IL6ST,ENSG00000134352,Gene Expression,GRCh38,5388,22335.0,IL6ST,5388
PPP1R10,ENSG00000204569,Gene Expression,GRCh38,2175,3299.0,PPP1R10,2175
C15orf39,ENSG00000167173,Gene Expression,GRCh38,840,962.0,C15orf39,840
DDAH1,ENSG00000153904,Gene Expression,GRCh38,112,126.0,DDAH1,112
AL683807.1,ENSG00000223511,Gene Expression,GRCh38,3,3.0,AL683807.1,3
CYP24A1,ENSG00000019186,Gene Expression,GRCh38,3,5.0,CYP24A1,3
CAPN10,ENSG00000142330,Gene Expression,GRCh38,416,447.0,CAPN10,416
AMFR,ENSG00000159461,Gene Expression,GRCh38,1132,1354.0,AMFR,1132
VSNL1,ENSG00000163032,Gene Expression,GRCh38,6,6.0,VSNL1,6
MARCO,ENSG00000019169,Gene Expression,GRCh38,5,5.0,MARCO,5
ARNTL,ENSG00000133794,Gene Expression,GRCh38,177,186.0,ARNTL,177
AC023055.1,ENSG00000257390,Gene Expression,GRCh38,15,16.0,AC023055.1,15
AC087286.2,ENSG00000259367,Gene Expression,GRCh38,7,7.0,AC087286.2,7
AL162311.3,ENSG00000258938,Gene Expression,GRCh38,11,11.0,AL162311.3,11
CFDP1,ENSG00000153774,Gene Expression,GRCh38,4225,9246.0,CFDP1,4225
ZMYM5,ENSG00000132950,Gene Expression,GRCh38,418,457.0,ZMYM5,418
GPATCH1,ENSG00000076650,Gene Expression,GRCh38,404,437.0,GPATCH1,404
AC003681.1,ENSG00000279159,Gene Expression,GRCh38,472,535.0,AC003681.1,472
SLC38A10,ENSG00000157637,Gene Expression,GRCh38,2207,3129.0,SLC38A10,2207
WDR5,ENSG00000196363,Gene Expression,GRCh38,554,605.0,WDR5,554
PHLDA2,ENSG00000181649,Gene Expression,GRCh38,9546,168888.0,PHLDA2,9546
RORA,ENSG00000069667,Gene Expression,GRCh38,176,192.0,RORA,176
PIGR,ENSG00000162896,Gene Expression,GRCh38,5,5.0,PIGR,5
MIR3945HG,ENSG00000251230,Gene Expression,GRCh38,45,113.0,MIR3945HG,45
DISC1,ENSG00000162946,Gene Expression,GRCh38,104,108.0,DISC1,104
ADGRG4,ENSG00000156920,Gene Expression,GRCh38,13,14.0,ADGRG4,13
PPP1R12C,ENSG00000125503,Gene Expression,GRCh38,1422,1729.0,PPP1R12C,1422
CACNA1C,ENSG00000151067,Gene Expression,GRCh38,6,6.0,CACNA1C,6
AC079906.1,ENSG00000274723,Gene Expression,GRCh38,6,6.0,AC079906.1,6
SDHB,ENSG00000117118,Gene Expression,GRCh38,1389,1777.0,SDHB,1389
OR2AG2,ENSG00000188124,Gene Expression,GRCh38,10,10.0,OR2AG2,10
AP001189.4,ENSG00000254975,Gene Expression,GRCh38,3,3.0,AP001189.4,3
GRPEL1,ENSG00000109519,Gene Expression,GRCh38,1254,1556.0,GRPEL1,1254
AL139385.1,ENSG00000275880,Gene Expression,GRCh38,268,302.0,AL139385.1,268
TCF25,ENSG00000141002,Gene Expression,GRCh38,5353,13623.0,TCF25,5353
SRPK2,ENSG00000135250,Gene Expression,GRCh38,2290,3405.0,SRPK2,2290
GAS1RR,ENSG00000226237,Gene Expression,GRCh38,3,3.0,GAS1RR,3
AC104958.2,ENSG00000272502,Gene Expression,GRCh38,3,3.0,AC104958.2,3
MYL6,ENSG00000092841,Gene Expression,GRCh38,8558,64323.0,MYL6,8558
GKN1,ENSG00000169605,Gene Expression,GRCh38,395,972.0,GKN1,395
XKR4,ENSG00000206579,Gene Expression,GRCh38,5,5.0,XKR4,5
METTL25,ENSG00000127720,Gene Expression,GRCh38,194,203.0,METTL25,194
LMX1B,ENSG00000136944,Gene Expression,GRCh38,3,3.0,LMX1B,3
FGFBP1,ENSG00000137440,Gene Expression,GRCh38,16,17.0,FGFBP1,16
IDH3G,ENSG00000067829,Gene Expression,GRCh38,1954,2696.0,IDH3G,1954
WFS1,ENSG00000109501,Gene Expression,GRCh38,1620,2227.0,WFS1,1620
MGMT,ENSG00000170430,Gene Expression,GRCh38,596,717.0,MGMT,596
MAGT1,ENSG00000102158,Gene Expression,GRCh38,2514,4160.0,MAGT1,2514
AC005606.1,ENSG00000260107,Gene Expression,GRCh38,4,4.0,AC005606.1,4
FAM133A,ENSG00000179083,Gene Expression,GRCh38,68,110.0,FAM133A,68
SAMMSON,ENSG00000240405,Gene Expression,GRCh38,23,25.0,SAMMSON,23
BNIPL,ENSG00000163141,Gene Expression,GRCh38,54,59.0,BNIPL,54
MLXIP,ENSG00000175727,Gene Expression,GRCh38,97,99.0,MLXIP,97
CDC20,ENSG00000117399,Gene Expression,GRCh38,73,105.0,CDC20,73
AC005757.1,ENSG00000267044,Gene Expression,GRCh38,3,3.0,AC005757.1,3
SLC39A6,ENSG00000141424,Gene Expression,GRCh38,1880,2998.0,SLC39A6,1880
UPP1,ENSG00000183696,Gene Expression,GRCh38,3316,9680.0,UPP1,3316
PUSL1,ENSG00000169972,Gene Expression,GRCh38,585,647.0,PUSL1,585
DAXX,ENSG00000204209,Gene Expression,GRCh38,1026,1205.0,DAXX,1026
COPG2,ENSG00000158623,Gene Expression,GRCh38,426,452.0,COPG2,426
COMMD3,ENSG00000148444,Gene Expression,GRCh38,1192,1497.0,COMMD3,1192
GRHL2,ENSG00000083307,Gene Expression,GRCh38,740,850.0,GRHL2,740
AC010680.2,ENSG00000270574,Gene Expression,GRCh38,43,43.0,AC010680.2,43
DIABLO,ENSG00000184047,Gene Expression,GRCh38,57,57.0,DIABLO,57
ARL11,ENSG00000152213,Gene Expression,GRCh38,387,425.0,ARL11,387
AC022306.2,ENSG00000275580,Gene Expression,GRCh38,87,88.0,AC022306.2,87
LINC00310,ENSG00000227456,Gene Expression,GRCh38,7,7.0,LINC00310,7
RNLS,ENSG00000184719,Gene Expression,GRCh38,11,11.0,RNLS,11
ARSB,ENSG00000113273,Gene Expression,GRCh38,272,281.0,ARSB,272
UMAD1,ENSG00000219545,Gene Expression,GRCh38,514,562.0,UMAD1,514
PUS10,ENSG00000162927,Gene Expression,GRCh38,170,178.0,PUS10,170
EDIL3,ENSG00000164176,Gene Expression,GRCh38,3,3.0,EDIL3,3
SRRM2-AS1,ENSG00000205913,Gene Expression,GRCh38,23,23.0,SRRM2-AS1,23
C15orf65,ENSG00000261652,Gene Expression,GRCh38,34,34.0,C15orf65,34
CIT,ENSG00000122966,Gene Expression,GRCh38,52,55.0,CIT,52
SLC27A4,ENSG00000167114,Gene Expression,GRCh38,308,334.0,SLC27A4,308
AC026461.4,ENSG00000275691,Gene Expression,GRCh38,7,7.0,AC026461.4,7
PCAT7,ENSG00000231806,Gene Expression,GRCh38,170,184.0,PCAT7,170
AL592148.3,ENSG00000272750,Gene Expression,GRCh38,43,44.0,AL592148.3,43
OTUD5,ENSG00000068308,Gene Expression,GRCh38,1250,1465.0,OTUD5,1250
ST3GAL1,ENSG00000008513,Gene Expression,GRCh38,1274,1671.0,ST3GAL1,1274
NPM2,ENSG00000158806,Gene Expression,GRCh38,23,24.0,NPM2,23
CGB2,ENSG00000104818,Gene Expression,GRCh38,424,560.0,CGB2,424
ZCCHC9,ENSG00000131732,Gene Expression,GRCh38,1255,1550.0,ZCCHC9,1255
GTF2IRD2B,ENSG00000174428,Gene Expression,GRCh38,145,149.0,GTF2IRD2B,145
PFKFB3,ENSG00000170525,Gene Expression,GRCh38,136,144.0,PFKFB3,136
RAB28,ENSG00000157869,Gene Expression,GRCh38,569,614.0,RAB28,569
ARHGAP45,ENSG00000180448,Gene Expression,GRCh38,2550,3819.0,ARHGAP45,2550
CCDC142,ENSG00000135637,Gene Expression,GRCh38,68,70.0,CCDC142,68
TOPORS,ENSG00000197579,Gene Expression,GRCh38,937,1099.0,TOPORS,937
ST8SIA4,ENSG00000113532,Gene Expression,GRCh38,649,733.0,ST8SIA4,649
CRIPT,ENSG00000119878,Gene Expression,GRCh38,1578,2053.0,CRIPT,1578
AL035413.1,ENSG00000230424,Gene Expression,GRCh38,58,63.0,AL035413.1,58
GNAI3,ENSG00000065135,Gene Expression,GRCh38,2571,3779.0,GNAI3,2571
NPR3,ENSG00000113389,Gene Expression,GRCh38,5,5.0,NPR3,5
FAM102A,ENSG00000167106,Gene Expression,GRCh38,707,844.0,FAM102A,707
CCL27,ENSG00000213927,Gene Expression,GRCh38,23,38.0,CCL27,23
AC078795.1,ENSG00000269984,Gene Expression,GRCh38,11,11.0,AC078795.1,11
SPRYD7,ENSG00000123178,Gene Expression,GRCh38,1806,2562.0,SPRYD7,1806
SPATA1,ENSG00000122432,Gene Expression,GRCh38,42,45.0,SPATA1,42
LINC01001,ENSG00000230724,Gene Expression,GRCh38,453,479.0,LINC01001,453
YJEFN3,ENSG00000250067,Gene Expression,GRCh38,142,145.0,YJEFN3,142
LINC01907,ENSG00000226125,Gene Expression,GRCh38,5,5.0,LINC01907,5
PBX1,ENSG00000185630,Gene Expression,GRCh38,771,1037.0,PBX1,771
CYB561D2,ENSG00000114395,Gene Expression,GRCh38,805,940.0,CYB561D2,805
RAPGEF1,ENSG00000107263,Gene Expression,GRCh38,3795,6741.0,RAPGEF1,3795
C21orf91,ENSG00000154642,Gene Expression,GRCh38,660,740.0,C21orf91,660
SPDYA,ENSG00000163806,Gene Expression,GRCh38,36,39.0,SPDYA,36
OPA3,ENSG00000125741,Gene Expression,GRCh38,922,1074.0,OPA3,922
DUS2,ENSG00000167264,Gene Expression,GRCh38,321,341.0,DUS2,321
AC073389.1,ENSG00000268584,Gene Expression,GRCh38,57,57.0,AC073389.1,57
AC040169.1,ENSG00000260018,Gene Expression,GRCh38,32,33.0,AC040169.1,32
MRPL27,ENSG00000108826,Gene Expression,GRCh38,2354,3733.0,MRPL27,2354
MARVELD2,ENSG00000152939,Gene Expression,GRCh38,502,586.0,MARVELD2,502
AC008115.4,ENSG00000275963,Gene Expression,GRCh38,3,3.0,AC008115.4,3
AL590867.1,ENSG00000213121,Gene Expression,GRCh38,6,6.0,AL590867.1,6
NDUFB3,ENSG00000119013,Gene Expression,GRCh38,2762,4682.0,NDUFB3,2762
RPL37A,ENSG00000197756,Gene Expression,GRCh38,9302,141527.0,RPL37A,9302
AL139002.1,ENSG00000233379,Gene Expression,GRCh38,28,30.0,AL139002.1,28
VSTM5,ENSG00000214376,Gene Expression,GRCh38,14,14.0,VSTM5,14
CCNT2,ENSG00000082258,Gene Expression,GRCh38,952,1079.0,CCNT2,952
AC010761.3,ENSG00000265205,Gene Expression,GRCh38,4,8.0,AC010761.3,4
EFCAB13,ENSG00000178852,Gene Expression,GRCh38,73,76.0,EFCAB13,73
AC083806.2,ENSG00000274554,Gene Expression,GRCh38,12,12.0,AC083806.2,12
AC023906.5,ENSG00000259712,Gene Expression,GRCh38,30,30.0,AC023906.5,30
GMEB2,ENSG00000101216,Gene Expression,GRCh38,410,428.0,GMEB2,410
AC116158.1,ENSG00000259326,Gene Expression,GRCh38,6,6.0,AC116158.1,6
SLIT2,ENSG00000145147,Gene Expression,GRCh38,14,19.0,SLIT2,14
IL31RA,ENSG00000164509,Gene Expression,GRCh38,4,5.0,IL31RA,4
CEP72,ENSG00000112877,Gene Expression,GRCh38,129,135.0,CEP72,129
MOV10L1,ENSG00000073146,Gene Expression,GRCh38,6,6.0,MOV10L1,6
PDF,ENSG00000258429,Gene Expression,GRCh38,6,6.0,PDF,6
CDPF1,ENSG00000205643,Gene Expression,GRCh38,181,186.0,CDPF1,181
SSH1,ENSG00000084112,Gene Expression,GRCh38,838,1004.0,SSH1,838
AC008392.1,ENSG00000268186,Gene Expression,GRCh38,44,48.0,AC008392.1,44
ICAM4,ENSG00000105371,Gene Expression,GRCh38,20,20.0,ICAM4,20
XDH,ENSG00000158125,Gene Expression,GRCh38,197,206.0,XDH,197
MAEL,ENSG00000143194,Gene Expression,GRCh38,27,27.0,MAEL,27
AL451062.3,ENSG00000284989,Gene Expression,GRCh38,9,9.0,AL451062.3,9
PHF3,ENSG00000118482,Gene Expression,GRCh38,2022,2756.0,PHF3,2022
ABCA7,ENSG00000064687,Gene Expression,GRCh38,3939,10645.0,ABCA7,3939
AL360093.1,ENSG00000223842,Gene Expression,GRCh38,6,6.0,AL360093.1,6
CEP63,ENSG00000182923,Gene Expression,GRCh38,1062,1279.0,CEP63,1062
C14orf178,ENSG00000197734,Gene Expression,GRCh38,3,3.0,C14orf178,3
PUS1,ENSG00000177192,Gene Expression,GRCh38,345,368.0,PUS1,345
ZNF34,ENSG00000196378,Gene Expression,GRCh38,121,127.0,ZNF34,121
AC104170.2,ENSG00000238140,Gene Expression,GRCh38,6,6.0,AC104170.2,6
KCNAB1,ENSG00000169282,Gene Expression,GRCh38,33,34.0,KCNAB1,33
RIOK1,ENSG00000124784,Gene Expression,GRCh38,840,1011.0,RIOK1,840
MORN1,ENSG00000116151,Gene Expression,GRCh38,62,63.0,MORN1,62
TAPBP,ENSG00000231925,Gene Expression,GRCh38,4152,9216.0,TAPBP,4152
ZNF793-AS1,ENSG00000266916,Gene Expression,GRCh38,25,26.0,ZNF793-AS1,25
TMEM117,ENSG00000139173,Gene Expression,GRCh38,193,201.0,TMEM117,193
FAM200B,ENSG00000237765,Gene Expression,GRCh38,1182,1527.0,FAM200B,1182
ESRP1,ENSG00000104413,Gene Expression,GRCh38,1816,2403.0,ESRP1,1816
PLIN2,ENSG00000147872,Gene Expression,GRCh38,5546,19391.0,PLIN2,5546
AC026167.1,ENSG00000226022,Gene Expression,GRCh38,16,16.0,AC026167.1,16
CCNK,ENSG00000090061,Gene Expression,GRCh38,1332,1627.0,CCNK,1332
MTURN,ENSG00000180354,Gene Expression,GRCh38,321,348.0,MTURN,321
KIAA2026,ENSG00000183354,Gene Expression,GRCh38,1150,1332.0,KIAA2026,1150
AC009065.1,ENSG00000259780,Gene Expression,GRCh38,3,3.0,AC009065.1,3
LYG1,ENSG00000144214,Gene Expression,GRCh38,10,10.0,LYG1,10
KCNQ3,ENSG00000184156,Gene Expression,GRCh38,3,3.0,KCNQ3,3
AC009226.1,ENSG00000223725,Gene Expression,GRCh38,5,5.0,AC009226.1,5
CILP,ENSG00000138615,Gene Expression,GRCh38,5,6.0,CILP,5
SP6,ENSG00000189120,Gene Expression,GRCh38,285,453.0,SP6,285
AC018682.2,ENSG00000253515,Gene Expression,GRCh38,18,18.0,AC018682.2,18
AC106739.2,ENSG00000274092,Gene Expression,GRCh38,4,4.0,AC106739.2,4
AC147067.1,ENSG00000244459,Gene Expression,GRCh38,8,8.0,AC147067.1,8
EMC1,ENSG00000127463,Gene Expression,GRCh38,2174,3257.0,EMC1,2174
IDNK,ENSG00000148057,Gene Expression,GRCh38,54,54.0,IDNK,54
TMEM184B,ENSG00000198792,Gene Expression,GRCh38,1359,1634.0,TMEM184B,1359
FGF11,ENSG00000161958,Gene Expression,GRCh38,86,91.0,FGF11,86
LNCPRESS1,ENSG00000232301,Gene Expression,GRCh38,7,7.0,LNCPRESS1,7
UBXN1,ENSG00000162191,Gene Expression,GRCh38,2558,4012.0,UBXN1,2558
AC100827.4,ENSG00000260672,Gene Expression,GRCh38,13,13.0,AC100827.4,13
AC009088.1,ENSG00000260060,Gene Expression,GRCh38,49,53.0,AC009088.1,49
AGK,ENSG00000006530,Gene Expression,GRCh38,316,329.0,AGK,316
MAP3K1,ENSG00000095015,Gene Expression,GRCh38,1855,2710.0,MAP3K1,1855
SLC35F2,ENSG00000110660,Gene Expression,GRCh38,537,592.0,SLC35F2,537
LBHD1,ENSG00000162194,Gene Expression,GRCh38,15,15.0,LBHD1,15
BIVM,ENSG00000134897,Gene Expression,GRCh38,389,413.0,BIVM,389
TRIM17,ENSG00000162931,Gene Expression,GRCh38,8,8.0,TRIM17,8
PAXIP1-AS1,ENSG00000273344,Gene Expression,GRCh38,245,263.0,PAXIP1-AS1,245
GRINA,ENSG00000178719,Gene Expression,GRCh38,2628,4368.0,GRINA,2628
DSG3,ENSG00000134757,Gene Expression,GRCh38,3,3.0,DSG3,3
MED6,ENSG00000133997,Gene Expression,GRCh38,1141,1362.0,MED6,1141
YPEL4,ENSG00000166793,Gene Expression,GRCh38,92,99.0,YPEL4,92
AL391421.1,ENSG00000204049,Gene Expression,GRCh38,9,11.0,AL391421.1,9
DGKA,ENSG00000065357,Gene Expression,GRCh38,932,1110.0,DGKA,932
GFOD2,ENSG00000141098,Gene Expression,GRCh38,979,1155.0,GFOD2,979
AL512310.10,ENSG00000273558,Gene Expression,GRCh38,10,10.0,AL512310.10,10
TNFRSF1A,ENSG00000067182,Gene Expression,GRCh38,2183,3131.0,TNFRSF1A,2183
HKR1,ENSG00000181666,Gene Expression,GRCh38,327,350.0,HKR1,327
ZFP28,ENSG00000196867,Gene Expression,GRCh38,64,65.0,ZFP28,64
DUSP7,ENSG00000164086,Gene Expression,GRCh38,76,79.0,DUSP7,76
AL137784.2,ENSG00000272017,Gene Expression,GRCh38,9,9.0,AL137784.2,9
LBH,ENSG00000213626,Gene Expression,GRCh38,340,425.0,LBH,340
LMAN2L,ENSG00000114988,Gene Expression,GRCh38,427,461.0,LMAN2L,427
NUDT9,ENSG00000170502,Gene Expression,GRCh38,949,1109.0,NUDT9,949
LIMS1,ENSG00000169756,Gene Expression,GRCh38,2362,3644.0,LIMS1,2362
SP100,ENSG00000067066,Gene Expression,GRCh38,2640,4390.0,SP100,2640
ATXN7,ENSG00000285258,Gene Expression,GRCh38,104,104.0,ATXN7,104
STIL,ENSG00000123473,Gene Expression,GRCh38,85,89.0,STIL,85
CFAP206,ENSG00000272514,Gene Expression,GRCh38,3,3.0,CFAP206,3
RAB9B,ENSG00000123570,Gene Expression,GRCh38,27,28.0,RAB9B,27
GDPGP1,ENSG00000183208,Gene Expression,GRCh38,96,98.0,GDPGP1,96
STAP1,ENSG00000035720,Gene Expression,GRCh38,3,3.0,STAP1,3
CGRRF1,ENSG00000100532,Gene Expression,GRCh38,471,516.0,CGRRF1,471
CFAP52,ENSG00000166596,Gene Expression,GRCh38,15,15.0,CFAP52,15
PPP2CA,ENSG00000113575,Gene Expression,GRCh38,2361,3445.0,PPP2CA,2361
MVD,ENSG00000167508,Gene Expression,GRCh38,1148,1421.0,MVD,1148
UNKL,ENSG00000059145,Gene Expression,GRCh38,591,664.0,UNKL,591
PLD5,ENSG00000180287,Gene Expression,GRCh38,5,5.0,PLD5,5
AC068491.3,ENSG00000270190,Gene Expression,GRCh38,71,72.0,AC068491.3,71
GLS,ENSG00000115419,Gene Expression,GRCh38,3416,6721.0,GLS,3416
AC013714.1,ENSG00000254606,Gene Expression,GRCh38,4,4.0,AC013714.1,4
ZBTB22,ENSG00000236104,Gene Expression,GRCh38,252,254.0,ZBTB22,252
AC116407.1,ENSG00000214708,Gene Expression,GRCh38,21,21.0,AC116407.1,21
AL021707.6,ENSG00000272669,Gene Expression,GRCh38,112,114.0,AL021707.6,112
BAIAP3,ENSG00000007516,Gene Expression,GRCh38,56,57.0,BAIAP3,56
DAPK2,ENSG00000035664,Gene Expression,GRCh38,8,8.0,DAPK2,8
PDLIM3,ENSG00000154553,Gene Expression,GRCh38,61,82.0,PDLIM3,61
SLC12A9,ENSG00000146828,Gene Expression,GRCh38,1016,1329.0,SLC12A9,1016
YIF1A,ENSG00000174851,Gene Expression,GRCh38,4050,10443.0,YIF1A,4050
IRF7,ENSG00000185507,Gene Expression,GRCh38,966,1212.0,IRF7,966
PFAS,ENSG00000178921,Gene Expression,GRCh38,195,199.0,PFAS,195
