,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction
0,ABCA1_APOA1,ABCA1,"['eEVT', 'iEVT', 'GC']",APOA1,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2']",F-(M+F)
1,ABCA1_APOA1,APOA1,"['EVT_2', 'eEVT', 'iEVT']",ABCA1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
2,ACKR2_CCL13,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL13,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
3,ACKR2_CCL13,CCL13,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
4,ACKR2_CCL14,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
5,ACKR2_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
6,ACKR2_CCL2,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL2,"['GC', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
7,ACKR2_CCL2,CCL2,['GC'],ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
8,ACKR2_CCL3,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
9,ACKR2_CCL3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
10,ACKR2_CCL4,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
11,ACKR2_CCL4,CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
12,ACKR2_CCL5,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
13,ACKR2_CCL5,CCL5,"['VCT_CCC', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
14,ACKR2_CCL7,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F)
15,ACKR2_CCL7,CCL7,"['EVT_1', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
16,ACKR2_CCL8,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F)
17,ACKR2_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
18,ADORA1_ENTPD1,ADORA1,['eEVT'],ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
19,ADORA1_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA1,"['eEVT', 'dM2', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
20,ADORA2B_ENTPD1,ADORA2B,"['iEVT', 'GC']",ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
21,ADORA2B_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA2B,"['iEVT', 'GC', 'dS3', 'dS2']",(M+F)-(M+F)
22,ADORA3_ENTPD1,ADORA3,"['EVT_1', 'iEVT']",ENTPD1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
23,ADORA3_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA3,"['EVT_1', 'iEVT', 'dM1', 'dM2']",F-(M+F)
24,AGRN_NCAM1,AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC']",NCAM1,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F)
25,AGRN_NCAM1,NCAM1,['eEVT'],AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
26,AGRN_PTPRS,AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC']",PTPRS,"['eEVT', 'iEVT', 'GC', 'dS2', 'dS1', 'uSMC']",(M+F)-(M+F)
27,AGRN_PTPRS,PTPRS,"['eEVT', 'iEVT', 'GC']",AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
28,ANXA1_FPR3,ANXA1,"['VCT_CCC', 'EVT_1', 'EVT_2']",FPR3,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
29,ANXA1_FPR3,FPR3,"['VCT_CCC', 'EVT_2', 'iEVT']",ANXA1,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
30,APLP2_PLXNA4,APLP2,"['VCT_CCC', 'GC']",PLXNA4,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
31,APLP2_PLXNA4,PLXNA4,"['EVT_2', 'eEVT', 'iEVT']",APLP2,"['VCT_CCC', 'GC']",(M+F)-F
32,APP_PLXNA4,APP,"['eEVT', 'GC']",PLXNA4,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
33,APP_PLXNA4,PLXNA4,"['EVT_2', 'eEVT', 'iEVT']",APP,"['eEVT', 'GC']",(M+F)-F
34,APP_SORL1,APP,"['eEVT', 'GC']",SORL1,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
35,APP_SORL1,SORL1,"['eEVT', 'GC']",APP,"['eEVT', 'GC']",(M+F)-F
36,ATP6AP2_REN,ATP6AP2,"['EVT_1', 'iEVT', 'GC']",REN,"['GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
37,ATP6AP2_REN,REN,['GC'],ATP6AP2,"['EVT_1', 'iEVT', 'GC', 'dM1', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
38,Acetylcholine_byCHAT_CHRM5,CHAT,"['VCT_CCC', 'iEVT']",CHRM5,"['eEVT', 'iEVT']",(M+F)-F
39,Acetylcholine_byCHAT_CHRM5,CHRM5,"['eEVT', 'iEVT']",CHAT,"['VCT_CCC', 'iEVT', 'dNK1', 'dM2', 'dS2', 'dS1', 'uSMC']",F-(M+F)
40,BDNF_SORT1,BDNF,"['VCT_CCC', 'EVT_2', 'iEVT']",SORT1,"['VCT_CCC', 'iEVT']",(M+F)-F
41,BDNF_SORT1,SORT1,"['VCT_CCC', 'iEVT']",BDNF,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
42,BSG_PPIA,BSG,"['VCT_CCC', 'EVT_1', 'EVT_2']",PPIA,"['VCT_CCC', 'EVT_1', 'GC']",(M+F)-F
43,BSG_PPIA,PPIA,"['VCT_CCC', 'EVT_1', 'GC']",BSG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
44,BST1_VASN,BST1,"['VCT_CCC', 'EVT_1']",VASN,"['VCT_CCC', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
45,BST1_VASN,VASN,"['VCT_CCC', 'eEVT', 'iEVT']",BST1,"['VCT_CCC', 'EVT_1', 'dM1', 'dS3', 'dS2']",(M+F)-(M+F)
46,BTC_ERBB4,BTC,"['VCT_CCC', 'iEVT']",ERBB4,['eEVT'],(M+F)-F
47,BTC_ERBB4,ERBB4,['eEVT'],BTC,"['VCT_CCC', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
48,BTN3A1_CSF1R,BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
49,BTN3A1_CSF1R,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'Endo_M']",F-(M+F)
50,CADH2_IGSF8,CDH2,"['VCT_CCC', 'EVT_2', 'iEVT']",IGSF8,"['EVT_1', 'eEVT']",(M+F)-F
51,CADH2_IGSF8,IGSF8,"['EVT_1', 'eEVT']",CDH2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
52,CBPM_M6PR,CPM,"['eEVT', 'iEVT', 'GC']",M6PR,"['VCT_CCC', 'EVT_1', 'dNK3', 'dM1', 'dM2', 'dS3']",(M+F)-(M+F)
53,CBPM_M6PR,M6PR,"['VCT_CCC', 'EVT_1']",CPM,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F)
54,CCL3L1_CCR1,CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
55,CCL3L1_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F)
56,CCL3L1_CCR3,CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
57,CCL3L1_CCR3,CCR3,"['eEVT', 'GC']",CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F)
58,CCL3_CCR1,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
59,CCL3_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
60,CCL3_CCR3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
61,CCL3_CCR3,CCR3,"['eEVT', 'GC']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
62,CCL5_CCR1,CCL5,"['VCT_CCC', 'eEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
63,CCL5_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
64,CCL5_CCR3,CCL5,"['VCT_CCC', 'eEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
65,CCL5_CCR3,CCR3,"['eEVT', 'GC']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
66,CCR1_CCL14,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
67,CCR1_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
68,CCR1_CCL26,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL26,"['iEVT', 'dS3', 'dS2']",F-(M+F)
69,CCR1_CCL26,CCL26,['iEVT'],CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
70,CCR1_CCL7,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F)
71,CCR1_CCL7,CCL7,"['EVT_1', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
72,CCR1_CCL8,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F)
73,CCR1_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
74,CCR3_CCL13,CCR3,"['eEVT', 'GC']",CCL13,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
75,CCR3_CCL13,CCL13,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
76,CCR3_CCL14,CCR3,"['eEVT', 'GC']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
77,CCR3_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
78,CCR3_CCL26,CCR3,"['eEVT', 'GC']",CCL26,"['iEVT', 'dS3', 'dS2']",F-(M+F)
79,CCR3_CCL26,CCL26,['iEVT'],CCR3,"['eEVT', 'GC']",(M+F)-F
80,CCR3_CCL7,CCR3,"['eEVT', 'GC']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F)
81,CCR3_CCL7,CCL7,"['EVT_1', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
82,CCR3_CCL8,CCR3,"['eEVT', 'GC']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F)
83,CCR3_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F
84,CD200_CD200R1,CD200,"['EVT_2', 'iEVT', 'GC']",CD200R1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK3', 'dM1', 'dM2']",F-(M+F)
85,CD200_CD200R1,CD200R1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CD200,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
86,CD226_NECTIN2,CD226,['eEVT'],NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
87,CD226_NECTIN2,NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CD226,"['eEVT', 'dNK3', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F)
88,CD2_CD58,CD2,['GC'],CD58,"['eEVT', 'GC']",(M+F)-F
89,CD2_CD58,CD58,"['eEVT', 'GC']",CD2,"['GC', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
90,CD33_GP6,CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GP6,"['iEVT', 'GC']",(M+F)-F
91,CD33_GP6,GP6,"['iEVT', 'GC']",CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
92,CD33_GPVI,CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GP6,"['iEVT', 'GC']",(M+F)-F
93,CD33_GPVI,GP6,"['iEVT', 'GC']",CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
94,CD46_JAG1,CD46,"['eEVT', 'iEVT', 'GC']",JAG1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
95,CD46_JAG1,JAG1,['eEVT'],CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
96,CD47_SIRPG,CD47,"['VCT_CCC', 'EVT_1']",SIRPG,"['EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
97,CD47_SIRPG,SIRPG,"['EVT_2', 'iEVT']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F
98,CD55_ADGRE2,CD55,"['VCT_CCC', 'EVT_1', 'EVT_2']",ADGRE2,"['EVT_2', 'eEVT', 'dM1', 'dM2']",F-(M+F)
99,CD55_ADGRE2,ADGRE2,"['EVT_2', 'eEVT']",CD55,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
100,CD55_ADGRE5,CD55,"['VCT_CCC', 'EVT_1', 'EVT_2']",ADGRE5,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F)
101,CD55_ADGRE5,ADGRE5,"['EVT_2', 'eEVT', 'iEVT', 'GC']",CD55,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
102,CD74_APP,CD74,"['VCT_CCC', 'EVT_2', 'iEVT']",APP,"['eEVT', 'GC']",(M+F)-F
103,CD74_APP,APP,"['eEVT', 'GC']",CD74,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
104,CD80_CD274,CD80,"['VCT_CCC', 'iEVT']",CD274,"['eEVT', 'iEVT', 'GC']",(M+F)-F
105,CD80_CD274,CD274,"['eEVT', 'iEVT', 'GC']",CD80,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F)
106,CD96_NECTIN1,CD96,"['eEVT', 'GC']",NECTIN1,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK1', 'dNK2']",F-(M+F)
107,CD96_NECTIN1,NECTIN1,"['VCT_CCC', 'EVT_2', 'iEVT']",CD96,"['eEVT', 'GC']",(M+F)-F
108,CD99_PILRA,CD99,"['VCT_CCC', 'EVT_1']",PILRA,"['GC', 'dM1', 'dM2', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
109,CD99_PILRA,PILRA,['GC'],CD99,"['VCT_CCC', 'EVT_1', 'dNK1', 'dNK2', 'dNK3', 'dS3', 'dS1']",(M+F)-(M+F)
110,CDH1_IGSF8,CDH1,"['VCT_CCC', 'eEVT', 'GC']",IGSF8,"['EVT_1', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
111,CDH1_IGSF8,IGSF8,"['EVT_1', 'eEVT']",CDH1,"['VCT_CCC', 'eEVT', 'GC', 'dNK1', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
112,CDH1_KLRG1,CDH1,"['VCT_CCC', 'eEVT', 'GC']",KLRG1,"['VCT_CCC', 'EVT_1', 'iEVT', 'dNK3', 'Endo_M', 'uSMC']",F-(M+F)
113,CDH1_KLRG1,KLRG1,"['VCT_CCC', 'EVT_1', 'iEVT']",CDH1,"['VCT_CCC', 'eEVT', 'GC']",(M+F)-F
114,CDH2_IGSF8,CDH2,"['VCT_CCC', 'EVT_2', 'iEVT']",IGSF8,"['EVT_1', 'eEVT']",(M+F)-F
115,CDH2_IGSF8,IGSF8,"['EVT_1', 'eEVT']",CDH2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
116,CDH5_CDH5,CDH5,"['VCT_CCC', 'EVT_1', 'eEVT']",CDH5,"['VCT_CCC', 'EVT_1', 'eEVT', 'Endo_M']",(M+F)-(M+F)
117,CDH5_CDH5,CDH5,"['VCT_CCC', 'EVT_1', 'eEVT']",CDH5,"['VCT_CCC', 'EVT_1', 'eEVT', 'Endo_M']",(M+F)-(M+F)
118,CEACAM1_CD209,CEACAM1,"['VCT_CCC', 'iEVT']",CD209,"['eEVT', 'dM1', 'dM2']",F-(M+F)
119,CEACAM1_CD209,CD209,['eEVT'],CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F
120,CEACAM1_SELE,CEACAM1,"['VCT_CCC', 'iEVT']",SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS2', 'Endo_M']",F-(M+F)
121,CEACAM1_SELE,SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F
122,CEACAM4_PDCD1LG2,CEACAM4,"['EVT_2', 'iEVT']",PDCD1LG2,"['iEVT', 'GC']",(M+F)-F
123,CEACAM4_PDCD1LG2,PDCD1LG2,"['iEVT', 'GC']",CEACAM4,"['EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
124,CEAM4_PDCD1LG2,CEACAM4,"['EVT_2', 'iEVT']",PDCD1LG2,"['iEVT', 'GC']",(M+F)-F
125,CEAM4_PDCD1LG2,PDCD1LG2,"['iEVT', 'GC']",CEACAM4,"['EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
126,CPM_M6PR,CPM,"['eEVT', 'iEVT', 'GC']",M6PR,"['VCT_CCC', 'EVT_1', 'dNK3', 'dM1', 'dM2', 'dS3']",(M+F)-(M+F)
127,CPM_M6PR,M6PR,"['VCT_CCC', 'EVT_1']",CPM,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F)
128,CSF1R_CSF1,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",CSF1,"['GC', 'dNK1', 'dNK2']",F-(M+F)
129,CSF1R_CSF1,CSF1,['GC'],CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
130,CXCL10_DPP4,CXCL10,"['VCT_CCC', 'iEVT']",DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F
131,CXCL10_DPP4,DPP4,"['VCT_CCC', 'EVT_1']",CXCL10,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F)
132,CXCL11_ACKR3,CXCL11,"['EVT_2', 'iEVT']",ACKR3,['eEVT'],(M+F)-F
133,CXCL11_ACKR3,ACKR3,['eEVT'],CXCL11,"['EVT_2', 'iEVT', 'dM1']",F-(M+F)
134,CXCL11_DPP4,CXCL11,"['EVT_2', 'iEVT']",DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F
135,CXCL11_DPP4,DPP4,"['VCT_CCC', 'EVT_1']",CXCL11,"['EVT_2', 'iEVT', 'dM1']",F-(M+F)
136,CXCL12_CXCR4,CXCL12,['eEVT'],CXCR4,"['iEVT', 'GC', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
137,CXCL12_CXCR4,CXCR4,"['iEVT', 'GC']",CXCL12,['eEVT'],(M+F)-F
138,CXCL14_CXCR4,CXCL14,"['EVT_2', 'eEVT', 'iEVT']",CXCR4,"['iEVT', 'GC', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
139,CXCL14_CXCR4,CXCR4,"['iEVT', 'GC']",CXCL14,"['EVT_2', 'eEVT', 'iEVT']",(M+F)-F
140,CXCL2_DPP4,CXCL2,['VCT_CCC'],DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F
141,CXCL2_DPP4,DPP4,"['VCT_CCC', 'EVT_1']",CXCL2,"['VCT_CCC', 'dM1', 'dM2', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
142,CXCR6_CXCL16,CXCR6,"['EVT_1', 'iEVT']",CXCL16,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F)
143,CXCR6_CXCL16,CXCL16,"['VCT_CCC', 'iEVT']",CXCR6,"['EVT_1', 'iEVT']",(M+F)-F
144,DLK1_NOTCH2,DLK1,['GC'],NOTCH2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F)
145,DLK1_NOTCH2,NOTCH2,"['eEVT', 'iEVT', 'GC']",DLK1,"['GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2', 'Endo_M']",(M+F)-(M+F)
146,DLK1_NOTCH3,DLK1,['GC'],NOTCH3,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
147,DLK1_NOTCH3,NOTCH3,"['VCT_CCC', 'eEVT']",DLK1,['GC'],(M+F)-F
148,DLK1_NOTCH4,DLK1,['GC'],NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
149,DLK1_NOTCH4,NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",DLK1,['GC'],(M+F)-F
150,DLL1_NOTCH1,DLL1,"['VCT_CCC', 'EVT_1', 'EVT_2']",NOTCH1,['VCT_CCC'],(M+F)-F
151,DLL1_NOTCH1,NOTCH1,['VCT_CCC'],DLL1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
152,DLL1_NOTCH2,DLL1,"['VCT_CCC', 'EVT_1', 'EVT_2']",NOTCH2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
153,DLL1_NOTCH2,NOTCH2,"['eEVT', 'iEVT', 'GC']",DLL1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
154,DPP4_CXCL12,DPP4,"['VCT_CCC', 'EVT_1']",CXCL12,"['eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
155,DPP4_CXCL12,CXCL12,['eEVT'],DPP4,"['VCT_CCC', 'EVT_1', 'dS2', 'Endo_M']",(M+F)-(M+F)
156,DPP4_CXCL9,DPP4,"['VCT_CCC', 'EVT_1']",CXCL9,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
157,DPP4_CXCL9,CXCL9,"['VCT_CCC', 'EVT_2', 'iEVT']",DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F
158,DSC2_DSG2,DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",DSG2,"['eEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
159,DSC2_DSG2,DSG2,['eEVT'],DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F)
160,DSCAM_NTN1,DSCAM,"['eEVT', 'GC']",NTN1,"['EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
161,DSCAM_NTN1,NTN1,"['EVT_2', 'iEVT']",DSCAM,"['eEVT', 'GC']",(M+F)-F
162,DSG2_DSC3,DSG2,['eEVT'],DSC3,"['VCT_CCC', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
163,DSG2_DSC3,DSC3,['VCT_CCC'],DSG2,['eEVT'],(M+F)-F
164,EFNA1_EPHA1,EFNA1,"['EVT_1', 'GC']",EPHA1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
165,EFNA1_EPHA1,EPHA1,['eEVT'],EFNA1,"['EVT_1', 'GC', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
