,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin
0,ACVR_1A2A_receptor_INHA,"['ACVR1', 'ACVR2A']","['eEVT', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
1,ACVR_1A2A_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR1', 'ACVR2A']","['eEVT', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
1,ACVR_1A2B_receptor_INHA,"['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
2,ACVR_1A2B_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",F-(M+F),False
2,ACVR_1B2A_receptor_GDF11,"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",['GDF11'],['eEVT'],F-F,False
3,ACVR_1B2A_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",F-F,False
3,ACVR_1B2A_receptor_INHA,"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
4,ACVR_1B2A_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
4,ACVR_1B2B_receptor_GDF11,"['ACVR2B', 'ACVR1B']",['iEVT'],['GDF11'],['eEVT'],F-F,False
5,ACVR_1B2B_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR2B', 'ACVR1B']",['iEVT'],F-F,False
5,ACVR_1B2B_receptor_INHA,"['ACVR2B', 'ACVR1B']",['iEVT'],['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
6,ACVR_1B2B_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR2B', 'ACVR1B']","['iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
6,ADM2_RAMP2_complex,['ADM2'],['eEVT'],"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT', 'Endo_M']",F-(M+F),False
7,ADM2_RAMP2_complex,"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT']",['ADM2'],['eEVT'],(M+F)-F,False
7,APOE_TREM2_receptor,['APOE'],"['GC', 'iEVT']","['TYROBP', 'TREM2']","['GC', 'dM2', 'dM1']",F-(M+F),False
8,APOE_TREM2_receptor,"['TYROBP', 'TREM2']",['GC'],['APOE'],"['GC', 'iEVT']",(M+F)-F,False
8,APP_TREM2_receptor,['APP'],"['GC', 'eEVT']","['TYROBP', 'TREM2']","['GC', 'dM2', 'dM1']",F-(M+F),False
9,APP_TREM2_receptor,"['TYROBP', 'TREM2']",['GC'],['APP'],"['GC', 'eEVT']",(M+F)-F,False
9,BMPR1A_BMPR2_BMP4,"['BMPR2', 'BMPR1A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
10,BMPR1A_BMPR2_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR2', 'BMPR1A']","['eEVT', 'dS1', 'uSMC']",F-(M+F),False
10,BMPR1B_BMPR2_BMP4,"['BMPR1B', 'BMPR2']","['GC', 'eEVT', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dS2', 'dS3']",(M+F)-(M+F),False
11,BMPR1B_BMPR2_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'BMPR2']","['GC', 'eEVT', 'iEVT', 'dS1', 'uSMC']",(M+F)-(M+F),False
11,BMR1A_ACR2A_BMP4,"['BMPR1A', 'ACVR2A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
12,BMR1A_ACR2A_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1A', 'ACVR2A']","['eEVT', 'dS1', 'uSMC']",F-(M+F),False
12,BMR1A_AVR2B_BMP4,"['ACVR2B', 'BMPR1A']",['VCT_CCC'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
13,BMR1A_AVR2B_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['ACVR2B', 'BMPR1A']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),False
13,BMR1B_AVR2A_BMP4,"['BMPR1B', 'ACVR2A']","['GC', 'eEVT', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dS2', 'dS3']",(M+F)-(M+F),False
14,BMR1B_AVR2A_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'ACVR2A']","['GC', 'eEVT', 'iEVT', 'dS1', 'uSMC']",(M+F)-(M+F),False
14,BMR1B_AVR2B_BMP4,"['BMPR1B', 'ACVR2B']","['GC', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
15,BMR1B_AVR2B_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'ACVR2B']","['GC', 'iEVT', 'dS1', 'dS2', 'uSMC']",F-(M+F),False
15,CD47_SIRB1_complex,['CD47'],"['VCT_CCC', 'EVT_1']","['TYROBP', 'SIRPB1']",['dM1'],F-(M+F),False
16,CD47_SIRB1_complex,"['TYROBP', 'SIRPB1']",[],['CD47'],"['VCT_CCC', 'EVT_1']",(M+F)-F,False
16,CD94:NKG2A_HLA-E,"['KLRD1', 'KLRC1']",['eEVT'],['HLA-E'],"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
17,CD94:NKG2A_HLA-E,['HLA-E'],"['EVT_1', 'EVT_2', 'iEVT', 'GC']","['KLRD1', 'KLRC1']","['eEVT', 'dNK2', 'dNK3', 'dNK1']",F-(M+F),False
17,CD94:NKG2C_HLA-E,"['KLRD1', 'KLRC2']",['GC'],['HLA-E'],"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
18,CD94:NKG2C_HLA-E,['HLA-E'],"['EVT_1', 'EVT_2', 'iEVT', 'GC']","['KLRD1', 'KLRC2']","['GC', 'dNK2', 'dNK3', 'dNK1']",F-(M+F),False
18,CDH1_integrin_a2b1_complex,['CDH1'],"['VCT_CCC', 'eEVT', 'GC']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
19,CDH1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['CDH1'],"['VCT_CCC', 'eEVT', 'GC', 'dNK1', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
19,CDH1_integrin_aEb7_complex,['CDH1'],"['VCT_CCC', 'eEVT', 'GC']","['ITGB7', 'ITGAE']","['EVT_1', 'dNK3', 'dNK1']",F-(M+F),True
20,CDH1_integrin_aEb7_complex,"['ITGB7', 'ITGAE']",['EVT_1'],['CDH1'],"['VCT_CCC', 'eEVT', 'GC']",(M+F)-F,True
20,CLU_TREM2_receptor,['CLU'],"['VCT_CCC', 'GC']","['TYROBP', 'TREM2']","['GC', 'dM2', 'dM1']",F-(M+F),False
21,CLU_TREM2_receptor,"['TYROBP', 'TREM2']",['GC'],['CLU'],"['VCT_CCC', 'GC']",(M+F)-F,False
21,COL11A1_integrin_a11b1_complex,['COL11A1'],"['GC', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
22,COL11A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL11A1'],"['GC', 'iEVT']",(M+F)-F,True
22,COL11A1_integrin_a1b1_complex,['COL11A1'],"['GC', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
23,COL11A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL11A1'],"['GC', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
23,COL11A1_integrin_a2b1_complex,['COL11A1'],"['GC', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
24,COL11A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL11A1'],"['GC', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
24,COL15A1_integrin_a11b1_complex,['COL15A1'],"['GC', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
25,COL15A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL15A1'],"['GC', 'iEVT']",(M+F)-F,True
25,COL15A1_integrin_a1b1_complex,['COL15A1'],"['GC', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
26,COL15A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL15A1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
26,COL15A1_integrin_a2b1_complex,['COL15A1'],"['GC', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
27,COL15A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL15A1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
27,COL17A1_integrin_a11b1_complex,['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
28,COL17A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']",(M+F)-F,True
28,COL17A1_integrin_a1b1_complex,['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
29,COL17A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M']",(M+F)-(M+F),True
29,COL17A1_integrin_a2b1_complex,['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
30,COL17A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M']",(M+F)-(M+F),True
30,COL19A1_integrin_a11b1_complex,['COL19A1'],"['GC', 'eEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
31,COL19A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL19A1'],"['GC', 'eEVT']",(M+F)-F,True
31,COL19A1_integrin_a1b1_complex,['COL19A1'],"['GC', 'eEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
32,COL19A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL19A1'],"['GC', 'eEVT', 'dNK1', 'uSMC', 'Endo_M', 'dS1', 'dM2']",(M+F)-(M+F),True
32,COL19A1_integrin_a2b1_complex,['COL19A1'],"['GC', 'eEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
33,COL19A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL19A1'],"['GC', 'eEVT', 'dNK1', 'uSMC', 'Endo_M', 'dS1', 'dM2']",(M+F)-(M+F),True
33,COL1A1_integrin_a11b1_complex,['COL1A1'],['GC'],"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
34,COL1A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL1A1'],['GC'],(M+F)-F,True
34,COL1A1_integrin_a1b1_complex,['COL1A1'],['GC'],"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
35,COL1A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL1A1'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
35,COL1A1_integrin_a2b1_complex,['COL1A1'],['GC'],"['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
36,COL1A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL1A1'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
